"","Company","Year","Start Year Revenue (USD)","Revenue Growth (NYU CAGR)","Revenue Growth (S&P)","Scope 1 Emission Intensity (Company) (tCO2e/USD)","Scope 1 Emission Intensity (Sector Mean) (tCO2e/USD)","Scope 1 Emission Intensity (Sector Min) (tCO2e/USD)","Scope 1 Emission Intensity (Sector Max) (tCO2e/USD)","Scope 2 Emission Intensity (Company) (tCO2e/USD)","Scope 2 Emission Intensity (Sector Mean) (tCO2e/USD)","Scope 2 Emission Intensity (Sector Min) (tCO2e/USD)","Scope 2 Emission Intensity (Sector Max) (tCO2e/USD)","Scope 1&2 Emission Intensity (Company) (tCO2e/USD)","Scope 1&2 Emission Intensity (Sector Mean) (tCO2e/USD)","Scope 1&2 Emission Intensity (Sector Min) (tCO2e/USD)","Scope 1&2 Emission Intensity (Sector Max) (tCO2e/USD)","End Target (Current)","End Target (None to NZT)","End Target (Top 50% None to NZT)","Interim Target (Current)","Interim Target (None to 50% by 2030)","Slowdown (2022) End Target (Current) Revenue Growth (S&P)","Slowdown (2022) End Target (Current) Revenue Growth (NYU CAGR)","Slowdown (2022) End Target (None to NZT) Revenue Growth (S&P)","Slowdown (2022) End Target (None to NZT) Revenue Growth (NYU CAGR)","Slowdown (2022) End Target (Top 50% None to NZT) Revenue Growth (S&P)","Slowdown (2022) End Target (Top 50% None to NZT) Revenue Growth (NYU CAGR)","Slowdown (2030) End Target (Current) Revenue Growth (S&P)","Slowdown (2030) End Target (Current) Revenue Growth (NYU CAGR)","Slowdown (2030) End Target (None to NZT) Revenue Growth (S&P)","Slowdown (2030) End Target (None to NZT) Revenue Growth (NYU CAGR)","Slowdown (2030) End Target (Top 50% None to NZT) Revenue Growth (S&P)","Slowdown (2030) End Target (Top 50% None to NZT) Revenue Growth (NYU CAGR)","Slowdown (2040) End Target (Current) Revenue Growth (S&P)","Slowdown (2040) End Target (Current) Revenue Growth (NYU CAGR)","Slowdown (2040) End Target (None to NZT) Revenue Growth (S&P)","Slowdown (2040) End Target (None to NZT) Revenue Growth (NYU CAGR)","Slowdown (2040) End Target (Top 50% None to NZT) Revenue Growth (S&P)","Slowdown (2040) End Target (Top 50% None to NZT) Revenue Growth (NYU CAGR)","Company Type"
"360","3i","2021","1966000000.0","1.2384265714602645","1.251794825611249","8.535096642929807e-08","0.0001558543290305","7.203261636869174e-12","0.018506684872545","1.6327568667344864e-07","0.000229042531234","4.1967999400457134e-10","0.0270551915089986","2.486266531027467e-07","0.0003895047975734","9.517742721175103e-10","0.0347992616520535","","1.0","1.0","","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","Herd"
"361","3i","2022","1966000000.0","1.37817825206191","1.400553580224882","8.535096642929807e-08","0.0001558543290305","7.203261636869174e-12","0.018506684872545","1.6327568667344864e-07","0.000229042531234","4.1967999400457134e-10","0.0270551915089986","2.486266531027467e-07","0.0003895047975734","9.517742721175103e-10","0.0347992616520535","","0.9655172413793104","0.9655172413793104","","0.9444444444444444","2.085898559648224","1.9141345763393345","0.9655172413793104","0.9655172413793104","0.9655172413793104","0.9655172413793104","1.400553580224882","1.37817825206191","1.400553580224882","1.37817825206191","1.400553580224882","1.37817825206191","1.400553580224882","1.37817825206191","1.400553580224882","1.37817825206191","1.400553580224882","1.37817825206191","Herd"
"362","3i","2023","1966000000.0","1.5337003728988257","1.5669902854270974","8.535096642929807e-08","0.0001558543290305","7.203261636869174e-12","0.018506684872545","1.6327568667344864e-07","0.000229042531234","4.1967999400457134e-10","0.0270551915089986","2.486266531027467e-07","0.0003895047975734","9.517742721175103e-10","0.0347992616520535","","0.9310344827586208","0.9310344827586208","","0.8888888888888888","3.171797119296447","2.8282691526786685","0.9310344827586208","0.9310344827586208","0.9310344827586208","0.9310344827586208","1.5669902854270974","1.5337003728988257","1.5669902854270974","1.5337003728988257","1.5669902854270974","1.5337003728988257","1.5669902854270974","1.5337003728988257","1.5669902854270974","1.5337003728988257","1.5669902854270974","1.5337003728988257","Herd"
"363","3i","2024","1966000000.0","1.7067725675621317","1.7532057247168165","8.535096642929807e-08","0.0001558543290305","7.203261636869174e-12","0.018506684872545","1.6327568667344864e-07","0.000229042531234","4.1967999400457134e-10","0.0270551915089986","2.486266531027467e-07","0.0003895047975734","9.517742721175103e-10","0.0347992616520535","","0.896551724137931","0.896551724137931","","0.8333333333333334","4.257695678944671","3.7424037290180014","0.896551724137931","0.896551724137931","0.896551724137931","0.896551724137931","1.7532057247168165","1.7067725675621317","1.7532057247168165","1.7067725675621317","1.7532057247168165","1.7067725675621317","1.7532057247168165","1.7067725675621317","1.7532057247168165","1.7067725675621317","1.7532057247168165","1.7067725675621317","Herd"
"364","3i","2025","1966000000.0","1.8993752944564215","1.9615503310807347","8.535096642929807e-08","0.0001558543290305","7.203261636869174e-12","0.018506684872545","1.6327568667344864e-07","0.000229042531234","4.1967999400457134e-10","0.0270551915089986","2.486266531027467e-07","0.0003895047975734","9.517742721175103e-10","0.0347992616520535","","0.8620689655172413","0.8620689655172413","","0.7777777777777778","5.343594238592894","4.656538305357337","0.8620689655172413","0.8620689655172413","0.8620689655172413","0.8620689655172413","1.9615503310807347","1.8993752944564213","1.9615503310807347","1.8993752944564213","1.9615503310807347","1.8993752944564213","1.9615503310807347","1.8993752944564213","1.9615503310807347","1.8993752944564213","1.9615503310807347","1.8993752944564213","Herd"
"365","3i","2026","1966000000.0","2.113712499108403","2.1946538544325307","8.535096642929807e-08","0.0001558543290305","7.203261636869174e-12","0.018506684872545","1.6327568667344864e-07","0.000229042531234","4.1967999400457134e-10","0.0270551915089986","2.486266531027467e-07","0.0003895047975734","9.517742721175103e-10","0.0347992616520535","","0.8275862068965517","0.8275862068965517","","0.7222222222222222","6.429492798241117","5.57067288169667","0.8275862068965517","0.8275862068965517","0.8275862068965517","0.8275862068965517","2.1946538544325307","2.113712499108403","2.1946538544325307","2.113712499108403","2.1946538544325307","2.113712499108403","2.1946538544325307","2.113712499108403","2.1946538544325307","2.113712499108403","2.1946538544325307","2.113712499108403","Herd"
"366","3i","2027","1966000000.0","2.3522368338299966","2.455458554622896","8.535096642929807e-08","0.0001558543290305","7.203261636869174e-12","0.018506684872545","1.6327568667344864e-07","0.000229042531234","4.1967999400457134e-10","0.0270551915089986","2.486266531027467e-07","0.0003895047975734","9.517742721175103e-10","0.0347992616520535","","0.7931034482758621","0.7931034482758621","","0.6666666666666667","7.515391357889341","6.484807458036005","0.7931034482758621","0.7931034482758621","0.7931034482758621","0.7931034482758621","2.455458554622896","2.3522368338299966","2.455458554622896","2.3522368338299966","2.455458554622896","2.3522368338299966","2.455458554622896","2.3522368338299966","2.455458554622896","2.3522368338299966","2.455458554622896","2.3522368338299966","Herd"
"367","3i","2028","1966000000.0","2.617677723323527","2.7472563389864253","8.535096642929807e-08","0.0001558543290305","7.203261636869174e-12","0.018506684872545","1.6327568667344864e-07","0.000229042531234","4.1967999400457134e-10","0.0270551915089986","2.486266531027467e-07","0.0003895047975734","9.517742721175103e-10","0.0347992616520535","","0.7586206896551724","0.7586206896551724","","0.6111111111111112","8.601289917537565","7.398942034375339","0.7586206896551724","0.7586206896551724","0.7586206896551724","0.7586206896551724","2.7472563389864253","2.617677723323527","2.7472563389864253","2.617677723323527","2.7472563389864253","2.617677723323527","2.7472563389864253","2.617677723323527","2.7472563389864253","2.617677723323527","2.7472563389864253","2.617677723323527","Herd"
"368","3i","2029","1966000000.0","2.9130725973826306","3.073730313179818","8.535096642929807e-08","0.0001558543290305","7.203261636869174e-12","0.018506684872545","1.6327568667344864e-07","0.000229042531234","4.1967999400457134e-10","0.0270551915089986","2.486266531027467e-07","0.0003895047975734","9.517742721175103e-10","0.0347992616520535","","0.7241379310344828","0.7241379310344828","","0.5555555555555556","9.687188477185789","8.313076610714674","0.7241379310344828","0.7241379310344828","0.7241379310344828","0.7241379310344828","3.073730313179818","2.9130725973826306","3.073730313179818","2.9130725973826306","3.073730313179818","2.9130725973826306","3.073730313179818","2.9130725973826306","3.073730313179818","2.9130725973826306","3.073730313179818","2.9130725973826306","Herd"
"369","3i","2030","1966000000.0","3.241801648083466","3.439001269770911","8.535096642929807e-08","0.0001558543290305","7.203261636869174e-12","0.018506684872545","1.6327568667344864e-07","0.000229042531234","4.1967999400457134e-10","0.0270551915089986","2.486266531027467e-07","0.0003895047975734","9.517742721175103e-10","0.0347992616520535","","0.6896551724137931","0.6896551724137931","","0.5","10.773087036834012","9.227211187054008","0.6896551724137931","0.6896551724137931","0.6896551724137931","0.6896551724137931","4.474555452066421","4.084350221975871","2.927362203028398","2.774354854650124","2.927362203028398","2.774354854650124","3.439001269770911","3.241801648083466","3.439001269770911","3.241801648083466","3.439001269770911","3.241801648083466","Herd"
