"","Company","Year","Start Year Revenue (USD)","Revenue Growth (NYU CAGR)","Revenue Growth (S&P)","Scope 1 Emission Intensity (Company) (tCO2e/USD)","Scope 1 Emission Intensity (Sector Mean) (tCO2e/USD)","Scope 1 Emission Intensity (Sector Min) (tCO2e/USD)","Scope 1 Emission Intensity (Sector Max) (tCO2e/USD)","Scope 2 Emission Intensity (Company) (tCO2e/USD)","Scope 2 Emission Intensity (Sector Mean) (tCO2e/USD)","Scope 2 Emission Intensity (Sector Min) (tCO2e/USD)","Scope 2 Emission Intensity (Sector Max) (tCO2e/USD)","Scope 1&2 Emission Intensity (Company) (tCO2e/USD)","Scope 1&2 Emission Intensity (Sector Mean) (tCO2e/USD)","Scope 1&2 Emission Intensity (Sector Min) (tCO2e/USD)","Scope 1&2 Emission Intensity (Sector Max) (tCO2e/USD)","End Target (Current)","End Target (None to NZT)","End Target (Top 50% None to NZT)","Interim Target (Current)","Interim Target (None to 50% by 2030)","Slowdown (2022) End Target (Current) Revenue Growth (S&P)","Slowdown (2022) End Target (Current) Revenue Growth (NYU CAGR)","Slowdown (2022) End Target (None to NZT) Revenue Growth (S&P)","Slowdown (2022) End Target (None to NZT) Revenue Growth (NYU CAGR)","Slowdown (2022) End Target (Top 50% None to NZT) Revenue Growth (S&P)","Slowdown (2022) End Target (Top 50% None to NZT) Revenue Growth (NYU CAGR)","Slowdown (2030) End Target (Current) Revenue Growth (S&P)","Slowdown (2030) End Target (Current) Revenue Growth (NYU CAGR)","Slowdown (2030) End Target (None to NZT) Revenue Growth (S&P)","Slowdown (2030) End Target (None to NZT) Revenue Growth (NYU CAGR)","Slowdown (2030) End Target (Top 50% None to NZT) Revenue Growth (S&P)","Slowdown (2030) End Target (Top 50% None to NZT) Revenue Growth (NYU CAGR)","Slowdown (2040) End Target (Current) Revenue Growth (S&P)","Slowdown (2040) End Target (Current) Revenue Growth (NYU CAGR)","Slowdown (2040) End Target (None to NZT) Revenue Growth (S&P)","Slowdown (2040) End Target (None to NZT) Revenue Growth (NYU CAGR)","Slowdown (2040) End Target (Top 50% None to NZT) Revenue Growth (S&P)","Slowdown (2040) End Target (Top 50% None to NZT) Revenue Growth (NYU CAGR)","Company Type"
"9286","alpha metallurgical resources","2021","2258586000.0","1.1855503966504566","0.8833236686760966","2.4428115644035693e-05","0.0046630229110399","4.385964912280703e-08","0.3290017794442413","0.0013637709611234","0.0075846528527302","2.065602587995966e-09","0.8933884297520661","0.0013881990767674","0.0081507751822053","2.6666666666666667e-08","0.4560009056100156","","1.0","1.0","","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","Herd"
"9287","alpha metallurgical resources","2022","2258586000.0","1.2908626357267292","0.8301944032972512","2.4428115644035693e-05","0.0046630229110399","4.385964912280703e-08","0.3290017794442413","0.0013637709611234","0.0075846528527302","2.065602587995966e-09","0.8933884297520661","0.0013881990767674","0.0081507751822053","2.6666666666666667e-08","0.4560009056100156","","0.9655172413793104","0.9655172413793104","","0.9444444444444444","0.9705575827209288","1.4478672766653269","0.9655172413793104","0.9655172413793104","0.9655172413793104","0.9655172413793104","0.8301944032972512","1.2908626357267292","0.8301944032972512","1.2908626357267292","0.8301944032972512","1.2908626357267292","0.8301944032972512","1.2908626357267292","0.8301944032972512","1.2908626357267292","0.8301944032972512","1.2908626357267292","Herd"
"9288","alpha metallurgical resources","2023","2258586000.0","1.4055297429980549","0.7802607036433984","2.4428115644035693e-05","0.0046630229110399","4.385964912280703e-08","0.3290017794442413","0.0013637709611234","0.0075846528527302","2.065602587995966e-09","0.8933884297520661","0.0013881990767674","0.0081507751822053","2.6666666666666667e-08","0.4560009056100156","","0.9310344827586208","0.9310344827586208","","0.8888888888888888","0.9411151654418576","1.895734553330653","0.9310344827586208","0.9310344827586208","0.9310344827586208","0.9310344827586208","0.7802607036433984","1.4055297429980549","0.7802607036433984","1.4055297429980549","0.7802607036433984","1.4055297429980549","0.7802607036433984","1.4055297429980549","0.7802607036433984","1.4055297429980549","0.7802607036433984","1.4055297429980549","Herd"
"9289","alpha metallurgical resources","2024","2258586000.0","1.5303827098070777","0.7333303660348909","2.4428115644035693e-05","0.0046630229110399","4.385964912280703e-08","0.3290017794442413","0.0013637709611234","0.0075846528527302","2.065602587995966e-09","0.8933884297520661","0.0013881990767674","0.0081507751822053","2.6666666666666667e-08","0.4560009056100156","","0.896551724137931","0.896551724137931","","0.8333333333333334","0.9116727481627864","2.34360182999598","0.896551724137931","0.896551724137931","0.896551724137931","0.896551724137931","0.7333303660348909","1.5303827098070777","0.7333303660348909","1.5303827098070777","0.7333303660348909","1.5303827098070777","0.7333303660348909","1.5303827098070777","0.7333303660348909","1.5303827098070777","0.7333303660348909","1.5303827098070777","Herd"
"9290","alpha metallurgical resources","2025","2258586000.0","1.6663263443153582","0.6892227472660791","2.4428115644035693e-05","0.0046630229110399","4.385964912280703e-08","0.3290017794442413","0.0013637709611234","0.0075846528527302","2.065602587995966e-09","0.8933884297520661","0.0013881990767674","0.0081507751822053","2.6666666666666667e-08","0.4560009056100156","","0.8620689655172413","0.8620689655172413","","0.7777777777777778","0.8822303308837153","2.7914691066613067","0.8620689655172413","0.8620689655172413","0.8620689655172413","0.8620689655172413","0.6892227472660791","1.6663263443153582","0.6892227472660791","1.6663263443153582","0.6892227472660791","1.6663263443153582","0.6892227472660791","1.6663263443153582","0.6892227472660791","1.6663263443153582","0.6892227472660791","1.6663263443153582","Herd"
"9291","alpha metallurgical resources","2026","2258586000.0","1.8143458286387812","0.6477680692775245","2.4428115644035693e-05","0.0046630229110399","4.385964912280703e-08","0.3290017794442413","0.0013637709611234","0.0075846528527302","2.065602587995966e-09","0.8933884297520661","0.0013881990767674","0.0081507751822053","2.6666666666666667e-08","0.4560009056100156","","0.8275862068965517","0.8275862068965517","","0.7222222222222222","0.8527879136046441","3.2393363833266338","0.8275862068965517","0.8275862068965517","0.8275862068965517","0.8275862068965517","0.6477680692775245","1.8143458286387808","0.6477680692775245","1.8143458286387808","0.6477680692775245","1.8143458286387808","0.6477680692775245","1.8143458286387808","0.6477680692775245","1.8143458286387808","0.6477680692775245","1.8143458286387808","Herd"
"9292","alpha metallurgical resources","2027","2258586000.0","1.9755138584521783","0.6088067656500911","2.4428115644035693e-05","0.0046630229110399","4.385964912280703e-08","0.3290017794442413","0.0013637709611234","0.0075846528527302","2.065602587995966e-09","0.8933884297520661","0.0013881990767674","0.0081507751822053","2.6666666666666667e-08","0.4560009056100156","","0.7931034482758621","0.7931034482758621","","0.6666666666666667","0.8233454963255729","3.68720365999196","0.7931034482758621","0.7931034482758621","0.7931034482758621","0.7931034482758621","0.6088067656500911","1.9755138584521783","0.6088067656500911","1.9755138584521783","0.6088067656500911","1.9755138584521783","0.6088067656500911","1.9755138584521783","0.6088067656500911","1.9755138584521783","0.6088067656500911","1.9755138584521783","Herd"
"9293","alpha metallurgical resources","2028","2258586000.0","2.1509984168038088","0.5721888674054548","2.4428115644035693e-05","0.0046630229110399","4.385964912280703e-08","0.3290017794442413","0.0013637709611234","0.0075846528527302","2.065602587995966e-09","0.8933884297520661","0.0013881990767674","0.0081507751822053","2.6666666666666667e-08","0.4560009056100156","","0.7586206896551724","0.7586206896551724","","0.6111111111111112","0.7939030790465017","4.135070936657288","0.7586206896551724","0.7586206896551724","0.7586206896551724","0.7586206896551724","0.5721888674054548","2.1509984168038088","0.5721888674054548","2.1509984168038088","0.5721888674054548","2.1509984168038088","0.5721888674054548","2.1509984168038088","0.5721888674054548","2.1509984168038088","0.5721888674054548","2.1509984168038088","Herd"
"9294","alpha metallurgical resources","2029","2258586000.0","2.342071238476454","0.537773425748867","2.4428115644035693e-05","0.0046630229110399","4.385964912280703e-08","0.3290017794442413","0.0013637709611234","0.0075846528527302","2.065602587995966e-09","0.8933884297520661","0.0013881990767674","0.0081507751822053","2.6666666666666667e-08","0.4560009056100156","","0.7241379310344828","0.7241379310344828","","0.5555555555555556","0.7644606617674305","4.582938213322613","0.7241379310344828","0.7241379310344828","0.7241379310344828","0.7241379310344828","0.537773425748867","2.342071238476454","0.537773425748867","2.342071238476454","0.537773425748867","2.342071238476454","0.537773425748867","2.342071238476454","0.537773425748867","2.342071238476454","0.537773425748867","2.342071238476454","Herd"
"9295","alpha metallurgical resources","2030","2258586000.0","2.550117026236259","0.5054279695322069","2.4428115644035693e-05","0.0046630229110399","4.385964912280703e-08","0.3290017794442413","0.0013637709611234","0.0075846528527302","2.065602587995966e-09","0.8933884297520661","0.0013881990767674","0.0081507751822053","2.6666666666666667e-08","0.4560009056100156","","0.6896551724137931","0.6896551724137931","","0.5","0.7350182444883594","5.030805489987941","0.6896551724137931","0.6896551724137931","0.6896551724137931","0.6896551724137931","0.5191256387563941","2.896646466324931","0.5121651673798733","2.230544036644242","0.5121651673798733","2.230544036644242","0.5054279695322069","2.550117026236259","0.5054279695322069","2.550117026236259","0.5054279695322069","2.550117026236259","Herd"
"9296","alpha metallurgical resources","2031","2258586000.0","2.776643485759386","0.4750279953490016","2.4428115644035693e-05","0.0046630229110399","4.385964912280703e-08","0.3290017794442413","0.0013637709611234","0.0075846528527302","2.065602587995966e-09","0.8933884297520661","0.0013881990767674","0.0081507751822053","2.6666666666666667e-08","0.4560009056100156","","0.6551724137931034","0.6551724137931034","","0.5","0.7055758272092882","5.478672766653268","0.6551724137931034","0.6551724137931034","0.6551724137931034","0.6551724137931034","0.5004778517639211","3.451221694173408","0.4865569090108796","2.119016834812029","0.4865569090108796","2.119016834812029","0.4750279953490016","2.776643485759386","0.4750279953490016","2.776643485759386","0.4750279953490016","2.776643485759386","Herd"
"9297","alpha metallurgical resources","2032","2258586000.0","3.02329225195948","0.4464564882986993","2.4428115644035693e-05","0.0046630229110399","4.385964912280703e-08","0.3290017794442413","0.0013637709611234","0.0075846528527302","2.065602587995966e-09","0.8933884297520661","0.0013881990767674","0.0081507751822053","2.6666666666666667e-08","0.4560009056100156","","0.6206896551724138","0.6206896551724138","","0.5","0.676133409930217","5.926540043318594","0.6206896551724138","0.6206896551724138","0.6206896551724138","0.6206896551724138","0.4818300647714482","4.005796922021885","0.460948650641886","2.007489632979817","0.460948650641886","2.007489632979817","0.4464564882986993","3.02329225195948","0.4464564882986993","3.02329225195948","0.4464564882986993","3.02329225195948","Herd"
"9298","alpha metallurgical resources","2033","2258586000.0","3.291850785898946","0.4196034715755318","2.4428115644035693e-05","0.0046630229110399","4.385964912280703e-08","0.3290017794442413","0.0013637709611234","0.0075846528527302","2.065602587995966e-09","0.8933884297520661","0.0013881990767674","0.0081507751822053","2.6666666666666667e-08","0.4560009056100156","","0.5862068965517242","0.5862068965517242","","0.5","0.6466909926511458","6.374407319983921","0.5862068965517242","0.5862068965517242","0.5862068965517242","0.5862068965517242","0.4631822777789753","4.560372149870362","0.4353403922728923","1.895962431147605","0.4353403922728923","1.895962431147605","0.4196034715755318","3.291850785898946","0.4196034715755318","3.291850785898946","0.4196034715755318","3.291850785898946","Herd"
"9299","alpha metallurgical resources","2034","2258586000.0","3.584265328500813","0.3943655831482539","2.4428115644035693e-05","0.0046630229110399","4.385964912280703e-08","0.3290017794442413","0.0013637709611234","0.0075846528527302","2.065602587995966e-09","0.8933884297520661","0.0013881990767674","0.0081507751822053","2.6666666666666667e-08","0.4560009056100156","","0.5517241379310345","0.5517241379310345","","0.5","0.6172485753720747","6.822274596649248","0.5517241379310345","0.5517241379310345","0.5517241379310345","0.5517241379310345","0.4445344907865024","5.11494737771884","0.4097321339038986","1.7844352293153936","0.4097321339038986","1.7844352293153936","0.3943655831482539","3.584265328500813","0.3943655831482539","3.584265328500813","0.3943655831482539","3.584265328500813","Herd"
"9300","alpha metallurgical resources","2035","2258586000.0","3.902655004936613","0.3706456779013249","2.4428115644035693e-05","0.0046630229110399","4.385964912280703e-08","0.3290017794442413","0.0013637709611234","0.0075846528527302","2.065602587995966e-09","0.8933884297520661","0.0013881990767674","0.0081507751822053","2.6666666666666667e-08","0.4560009056100156","","0.5172413793103449","0.5172413793103449","","0.5","0.5878061580930034","7.270141873314574","0.5172413793103449","0.5172413793103449","0.5172413793103449","0.5172413793103449","0.4258867037940295","5.669522605567316","0.384123875534905","1.6729080274831811","0.384123875534905","1.6729080274831811","0.3706456779013249","3.902655004936613","0.3706456779013249","3.902655004936613","0.3706456779013249","3.902655004936613","Herd"
"9301","alpha metallurgical resources","2036","2258586000.0","4.2493271819046186","0.3483524537061038","2.4428115644035693e-05","0.0046630229110399","4.385964912280703e-08","0.3290017794442413","0.0013637709611234","0.0075846528527302","2.065602587995966e-09","0.8933884297520661","0.0013881990767674","0.0081507751822053","2.6666666666666667e-08","0.4560009056100156","","0.4827586206896551","0.4827586206896551","","0.5","0.5583637408139323","7.718009149979901","0.4827586206896551","0.4827586206896551","0.4827586206896551","0.4827586206896551","0.4072389168015565","6.224097833415794","0.3585156171659113","1.5613808256509691","0.3585156171659113","1.5613808256509691","0.3483524537061038","4.2493271819046186","0.3483524537061038","4.2493271819046186","0.3483524537061038","4.2493271819046186","Herd"
"9302","alpha metallurgical resources","2037","2258586000.0","4.626794189092491","0.3274000999827371","2.4428115644035693e-05","0.0046630229110399","4.385964912280703e-08","0.3290017794442413","0.0013637709611234","0.0075846528527302","2.065602587995966e-09","0.8933884297520661","0.0013881990767674","0.0081507751822053","2.6666666666666667e-08","0.4560009056100156","","0.4482758620689655","0.4482758620689655","","0.5","0.5289213235348611","8.165876426645227","0.4482758620689655","0.4482758620689655","0.4482758620689655","0.4482758620689655","0.3885911298090836","6.778673061264271","0.3329073587969177","1.4498536238187572","0.3329073587969177","1.4498536238187572","0.3274000999827371","4.626794189092491","0.3274000999827371","4.626794189092491","0.3274000999827371","4.626794189092491","Herd"
