"","Company","Year","Start Year Revenue (USD)","Revenue Growth (NYU CAGR)","Revenue Growth (S&P)","Scope 1 Emission Intensity (Company) (tCO2e/USD)","Scope 1 Emission Intensity (Sector Mean) (tCO2e/USD)","Scope 1 Emission Intensity (Sector Min) (tCO2e/USD)","Scope 1 Emission Intensity (Sector Max) (tCO2e/USD)","Scope 2 Emission Intensity (Company) (tCO2e/USD)","Scope 2 Emission Intensity (Sector Mean) (tCO2e/USD)","Scope 2 Emission Intensity (Sector Min) (tCO2e/USD)","Scope 2 Emission Intensity (Sector Max) (tCO2e/USD)","Scope 1&2 Emission Intensity (Company) (tCO2e/USD)","Scope 1&2 Emission Intensity (Sector Mean) (tCO2e/USD)","Scope 1&2 Emission Intensity (Sector Min) (tCO2e/USD)","Scope 1&2 Emission Intensity (Sector Max) (tCO2e/USD)","End Target (Current)","End Target (None to NZT)","End Target (Top 50% None to NZT)","Interim Target (Current)","Interim Target (None to 50% by 2030)","Slowdown (2022) End Target (Current) Revenue Growth (S&P)","Slowdown (2022) End Target (Current) Revenue Growth (NYU CAGR)","Slowdown (2022) End Target (None to NZT) Revenue Growth (S&P)","Slowdown (2022) End Target (None to NZT) Revenue Growth (NYU CAGR)","Slowdown (2022) End Target (Top 50% None to NZT) Revenue Growth (S&P)","Slowdown (2022) End Target (Top 50% None to NZT) Revenue Growth (NYU CAGR)","Slowdown (2030) End Target (Current) Revenue Growth (S&P)","Slowdown (2030) End Target (Current) Revenue Growth (NYU CAGR)","Slowdown (2030) End Target (None to NZT) Revenue Growth (S&P)","Slowdown (2030) End Target (None to NZT) Revenue Growth (NYU CAGR)","Slowdown (2030) End Target (Top 50% None to NZT) Revenue Growth (S&P)","Slowdown (2030) End Target (Top 50% None to NZT) Revenue Growth (NYU CAGR)","Slowdown (2040) End Target (Current) Revenue Growth (S&P)","Slowdown (2040) End Target (Current) Revenue Growth (NYU CAGR)","Slowdown (2040) End Target (None to NZT) Revenue Growth (S&P)","Slowdown (2040) End Target (None to NZT) Revenue Growth (NYU CAGR)","Slowdown (2040) End Target (Top 50% None to NZT) Revenue Growth (S&P)","Slowdown (2040) End Target (Top 50% None to NZT) Revenue Growth (NYU CAGR)","Company Type"
"420","3m","2021","35355000000.0","1.1554990387266988","0.9643997808352672","8.42879366426248e-05","0.0025944340282489","1.4777993299726573e-11","0.7039205798816613","4.4972422571064914e-05","0.0019883394034019","2.910784456411003e-11","0.5459999999999999","0.0001292603592136","0.0046395909016014","1.0881872740628115e-09","0.8755119649822077","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","Herd"
"421","3m","2022","35355000000.0","1.2420937679816382","0.9470777953633194","8.42879366426248e-05","0.0025944340282489","1.4777993299726573e-11","0.7039205798816613","4.4972422571064914e-05","0.0019883394034019","2.910784456411003e-11","0.5459999999999999","0.0001292603592136","0.0046395909016014","1.0881872740628115e-09","0.8755119649822077","0.9655172413793104","0.9655172413793104","0.9655172413793104","0.9833333333333332","0.9833333333333332","0.9655172413793104","0.9655172413793104","0.9655172413793104","0.9655172413793104","0.9655172413793104","0.9655172413793104","0.9470777953633194","1.2420937679816382","0.9470777953633194","1.2420937679816382","0.9470777953633194","1.2420937679816382","0.9470777953633194","1.2420937679816382","0.9470777953633194","1.2420937679816382","0.9470777953633194","1.2420937679816382","Herd"
"422","3m","2023","35355000000.0","1.335178028498325","0.9300669372751112","8.42879366426248e-05","0.0025944340282489","1.4777993299726573e-11","0.7039205798816613","4.4972422571064914e-05","0.0019883394034019","2.910784456411003e-11","0.5459999999999999","0.0001292603592136","0.0046395909016014","1.0881872740628115e-09","0.8755119649822077","0.9310344827586208","0.9310344827586208","0.9310344827586208","0.9666666666666668","0.9666666666666668","0.9310344827586208","0.9310344827586208","0.9310344827586208","0.9310344827586208","0.9310344827586208","0.9310344827586208","0.9300669372751112","1.335178028498325","0.9300669372751112","1.335178028498325","0.9300669372751112","1.335178028498325","0.9300669372751112","1.335178028498325","0.9300669372751112","1.335178028498325","0.9300669372751112","1.335178028498325","Herd"
"423","3m","2024","35355000000.0","1.435238154911206","0.9133616182823332","8.42879366426248e-05","0.0025944340282489","1.4777993299726573e-11","0.7039205798816613","4.4972422571064914e-05","0.0019883394034019","2.910784456411003e-11","0.5459999999999999","0.0001292603592136","0.0046395909016014","1.0881872740628115e-09","0.8755119649822077","0.896551724137931","0.896551724137931","0.896551724137931","0.95","0.95","0.896551724137931","0.896551724137931","0.896551724137931","0.896551724137931","0.896551724137931","0.896551724137931","0.9133616182823332","1.435238154911206","0.9133616182823332","1.435238154911206","0.9133616182823332","1.435238154911206","0.9133616182823332","1.435238154911206","0.9133616182823332","1.435238154911206","0.9133616182823332","1.435238154911206","Herd"
"424","3m","2025","35355000000.0","1.5427969284588234","0.8969563504702455","8.42879366426248e-05","0.0025944340282489","1.4777993299726573e-11","0.7039205798816613","4.4972422571064914e-05","0.0019883394034019","2.910784456411003e-11","0.5459999999999999","0.0001292603592136","0.0046395909016014","1.0881872740628115e-09","0.8755119649822077","0.8620689655172413","0.8620689655172413","0.8620689655172413","0.9333333333333332","0.9333333333333332","0.8620689655172413","0.8620689655172413","0.8620689655172413","0.8620689655172413","0.8620689655172413","0.8620689655172413","0.8969563504702455","1.5427969284588234","0.8969563504702455","1.5427969284588234","0.8969563504702455","1.5427969284588234","0.8969563504702455","1.5427969284588234","0.8969563504702455","1.5427969284588234","0.8969563504702455","1.5427969284588234","Herd"
"425","3m","2026","35355000000.0","1.6584163083437795","0.8808457444948271","8.42879366426248e-05","0.0025944340282489","1.4777993299726573e-11","0.7039205798816613","4.4972422571064914e-05","0.0019883394034019","2.910784456411003e-11","0.5459999999999999","0.0001292603592136","0.0046395909016014","1.0881872740628115e-09","0.8755119649822077","0.8275862068965517","0.8275862068965517","0.8275862068965517","0.9166666666666666","0.9166666666666666","0.8275862068965517","0.8275862068965517","0.8275862068965517","0.8275862068965517","0.8275862068965517","0.8275862068965517","0.8808457444948271","1.6584163083437795","0.8808457444948271","1.6584163083437795","0.8808457444948271","1.6584163083437795","0.8808457444948271","1.6584163083437795","0.8808457444948271","1.6584163083437795","0.8808457444948271","1.6584163083437795","Herd"
"426","3m","2027","35355000000.0","1.782700367784674","0.8650245078123058","8.42879366426248e-05","0.0025944340282489","1.4777993299726573e-11","0.7039205798816613","4.4972422571064914e-05","0.0019883394034019","2.910784456411003e-11","0.5459999999999999","0.0001292603592136","0.0046395909016014","1.0881872740628115e-09","0.8755119649822077","0.7931034482758621","0.7931034482758621","0.7931034482758621","0.9","0.9","0.7931034482758621","0.7931034482758621","0.7931034482758621","0.7931034482758621","0.7931034482758621","0.7931034482758621","0.8650245078123058","1.782700367784674","0.8650245078123058","1.782700367784674","0.8650245078123058","1.782700367784674","0.8650245078123058","1.782700367784674","0.8650245078123058","1.782700367784674","0.8650245078123058","1.782700367784674","Herd"
"427","3m","2028","35355000000.0","1.9162984500999176","0.849487442940489","8.42879366426248e-05","0.0025944340282489","1.4777993299726573e-11","0.7039205798816613","4.4972422571064914e-05","0.0019883394034019","2.910784456411003e-11","0.5459999999999999","0.0001292603592136","0.0046395909016014","1.0881872740628115e-09","0.8755119649822077","0.7586206896551724","0.7586206896551724","0.7586206896551724","0.8833333333333333","0.8833333333333333","0.7586206896551724","0.7586206896551724","0.7586206896551724","0.7586206896551724","0.7586206896551724","0.7586206896551724","0.849487442940489","1.9162984500999176","0.849487442940489","1.9162984500999176","0.849487442940489","1.9162984500999176","0.849487442940489","1.9162984500999176","0.849487442940489","1.9162984500999176","0.849487442940489","1.9162984500999176","Herd"
"428","3m","2029","35355000000.0","2.0599085613129238","0.8342294457513225","8.42879366426248e-05","0.0025944340282489","1.4777993299726573e-11","0.7039205798816613","4.4972422571064914e-05","0.0019883394034019","2.910784456411003e-11","0.5459999999999999","0.0001292603592136","0.0046395909016014","1.0881872740628115e-09","0.8755119649822077","0.7241379310344828","0.7241379310344828","0.7241379310344828","0.8666666666666667","0.8666666666666667","0.7241379310344828","0.7241379310344828","0.7241379310344828","0.7241379310344828","0.7241379310344828","0.7241379310344828","0.8342294457513225","2.059908561312924","0.8342294457513225","2.059908561312924","0.8342294457513225","2.059908561312924","0.8342294457513225","2.059908561312924","0.8342294457513225","2.059908561312924","0.8342294457513225","2.059908561312924","Herd"
"429","3m","2030","35355000000.0","2.2142810170039176","0.819245503794119","8.42879366426248e-05","0.0025944340282489","1.4777993299726573e-11","0.7039205798816613","4.4972422571064914e-05","0.0019883394034019","2.910784456411003e-11","0.5459999999999999","0.0001292603592136","0.0046395909016014","1.0881872740628115e-09","0.8755119649822077","0.6896551724137931","0.6896551724137931","0.6896551724137931","0.85","0.85","0.6896551724137931","0.6896551724137931","0.6896551724137931","0.6896551724137931","0.6896551724137931","0.6896551724137931","0.7945042340488786","1.96181767744088","0.7945042340488786","1.96181767744088","0.7945042340488786","1.96181767744088","0.819245503794119","2.2142810170039176","0.819245503794119","2.2142810170039176","0.819245503794119","2.2142810170039176","Herd"
