"","Company","Year","Start Year Revenue (USD)","Revenue Growth (NYU CAGR)","Revenue Growth (S&P)","Scope 1 Emission Intensity (Company) (tCO2e/USD)","Scope 1 Emission Intensity (Sector Mean) (tCO2e/USD)","Scope 1 Emission Intensity (Sector Min) (tCO2e/USD)","Scope 1 Emission Intensity (Sector Max) (tCO2e/USD)","Scope 2 Emission Intensity (Company) (tCO2e/USD)","Scope 2 Emission Intensity (Sector Mean) (tCO2e/USD)","Scope 2 Emission Intensity (Sector Min) (tCO2e/USD)","Scope 2 Emission Intensity (Sector Max) (tCO2e/USD)","Scope 1&2 Emission Intensity (Company) (tCO2e/USD)","Scope 1&2 Emission Intensity (Sector Mean) (tCO2e/USD)","Scope 1&2 Emission Intensity (Sector Min) (tCO2e/USD)","Scope 1&2 Emission Intensity (Sector Max) (tCO2e/USD)","End Target (Current)","End Target (None to NZT)","End Target (Top 50% None to NZT)","Interim Target (Current)","Interim Target (None to 50% by 2030)","Slowdown (2022) End Target (Current) Revenue Growth (S&P)","Slowdown (2022) End Target (Current) Revenue Growth (NYU CAGR)","Slowdown (2022) End Target (None to NZT) Revenue Growth (S&P)","Slowdown (2022) End Target (None to NZT) Revenue Growth (NYU CAGR)","Slowdown (2022) End Target (Top 50% None to NZT) Revenue Growth (S&P)","Slowdown (2022) End Target (Top 50% None to NZT) Revenue Growth (NYU CAGR)","Slowdown (2030) End Target (Current) Revenue Growth (S&P)","Slowdown (2030) End Target (Current) Revenue Growth (NYU CAGR)","Slowdown (2030) End Target (None to NZT) Revenue Growth (S&P)","Slowdown (2030) End Target (None to NZT) Revenue Growth (NYU CAGR)","Slowdown (2030) End Target (Top 50% None to NZT) Revenue Growth (S&P)","Slowdown (2030) End Target (Top 50% None to NZT) Revenue Growth (NYU CAGR)","Slowdown (2040) End Target (Current) Revenue Growth (S&P)","Slowdown (2040) End Target (Current) Revenue Growth (NYU CAGR)","Slowdown (2040) End Target (None to NZT) Revenue Growth (S&P)","Slowdown (2040) End Target (None to NZT) Revenue Growth (NYU CAGR)","Slowdown (2040) End Target (Top 50% None to NZT) Revenue Growth (S&P)","Slowdown (2040) End Target (Top 50% None to NZT) Revenue Growth (NYU CAGR)","Company Type"
"184128","tianjin faw","2021","59144506000.0","1.1019438883265382","1.058194305647705","","","","","","","","","","","","","","1.0","1.0","","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","Laggard"
"184129","tianjin faw","2022","59144506000.0","1.156749234573654","1.088549368692949","","","","","","","","","","","","","","0.9655172413793104","0.9655172413793104","","0.9444444444444444","1.0483812645019677","1.1207823781984914","0.9655172413793104","0.9655172413793104","0.9655172413793104","0.9655172413793104","1.088549368692949","1.156749234573654","1.088549368692949","1.156749234573654","1.088549368692949","1.156749234573654","1.088549368692949","1.156749234573654","1.088549368692949","1.156749234573654","1.088549368692949","1.156749234573654","Laggard"
"184130","tianjin faw","2023","59144506000.0","1.2142803330202103","1.1197751885052285","","","","","","","","","","","","","","0.9310344827586208","0.9310344827586208","","0.8888888888888888","1.0967625290039351","1.2415647563969827","0.9310344827586208","0.9310344827586208","0.9310344827586208","0.9310344827586208","1.1197751885052285","1.2142803330202103","1.1197751885052285","1.2142803330202103","1.1197751885052285","1.2142803330202103","1.1197751885052285","1.2142803330202103","1.1197751885052285","1.2142803330202103","1.1197751885052285","1.2142803330202103","Laggard"
"184131","tianjin faw","2024","59144506000.0","1.274672749364839","1.1518967433672829","","","","","","","","","","","","","","0.896551724137931","0.896551724137931","","0.8333333333333334","1.145143793505903","1.362347134595474","0.896551724137931","0.896551724137931","0.896551724137931","0.896551724137931","1.1518967433672829","1.274672749364839","1.1518967433672829","1.274672749364839","1.1518967433672829","1.274672749364839","1.1518967433672829","1.274672749364839","1.1518967433672829","1.274672749364839","1.1518967433672829","1.274672749364839","Laggard"
"184132","tianjin faw","2025","59144506000.0","1.3380687916867344","1.184939728081818","","","","","","","","","","","","","","0.8620689655172413","0.8620689655172413","","0.7777777777777778","1.193525058007871","1.4831295127939654","0.8620689655172413","0.8620689655172413","0.8620689655172413","0.8620689655172413","1.184939728081818","1.3380687916867344","1.184939728081818","1.3380687916867344","1.184939728081818","1.3380687916867344","1.184939728081818","1.3380687916867344","1.184939728081818","1.3380687916867344","1.184939728081818","1.3380687916867344","Laggard"
"184133","tianjin faw","2026","59144506000.0","1.40461784577897","1.2189305745253944","","","","","","","","","","","","","","0.8275862068965517","0.8275862068965517","","0.7222222222222222","1.2419063225098386","1.6039118909924568","0.8275862068965517","0.8275862068965517","0.8275862068965517","0.8275862068965517","1.2189305745253944","1.40461784577897","1.2189305745253944","1.40461784577897","1.2189305745253944","1.40461784577897","1.2189305745253944","1.40461784577897","1.2189305745253944","1.40461784577897","1.2189305745253944","1.40461784577897","Laggard"
"184134","tianjin faw","2027","59144506000.0","1.474476727159673","1.25389647279192","","","","","","","","","","","","","","0.7931034482758621","0.7931034482758621","","0.6666666666666667","1.290287587011806","1.724694269190948","0.7931034482758621","0.7931034482758621","0.7931034482758621","0.7931034482758621","1.25389647279192","1.474476727159673","1.25389647279192","1.474476727159673","1.25389647279192","1.474476727159673","1.25389647279192","1.474476727159673","1.25389647279192","1.474476727159673","1.25389647279192","1.474476727159673","Laggard"
"184135","tianjin faw","2028","59144506000.0","1.5478100505905243","1.289865392942658","","","","","","","","","","","","","","0.7586206896551724","0.7586206896551724","","0.6111111111111112","1.338668851513774","1.8454766473894395","0.7586206896551724","0.7586206896551724","0.7586206896551724","0.7586206896551724","1.289865392942658","1.5478100505905243","1.289865392942658","1.5478100505905243","1.289865392942658","1.5478100505905243","1.289865392942658","1.5478100505905243","1.289865392942658","1.5478100505905243","1.289865392942658","1.5478100505905243","Laggard"
"184136","tianjin faw","2029","59144506000.0","1.6247906179733185","1.326866107380152","","","","","","","","","","","","","","0.7241379310344828","0.7241379310344828","","0.5555555555555556","1.3870501160157416","1.9662590255879309","0.7241379310344828","0.7241379310344828","0.7241379310344828","0.7241379310344828","1.326866107380152","1.6247906179733185","1.326866107380152","1.6247906179733185","1.326866107380152","1.6247906179733185","1.326866107380152","1.6247906179733185","1.326866107380152","1.6247906179733185","1.326866107380152","1.6247906179733185","Laggard"
"184137","tianjin faw","2030","59144506000.0","1.7055998255386182","1.36492821386396","","","","","","","","","","","","","","0.6896551724137931","0.6896551724137931","","0.5","1.4354313805177092","2.0870414037864222","0.6896551724137931","0.6896551724137931","0.6896551724137931","0.6896551724137931","1.378113277055243","1.7618333965344104","1.2636820070287162","1.5474196361650652","1.2636820070287162","1.5474196361650652","1.36492821386396","1.7055998255386182","1.36492821386396","1.7055998255386182","1.36492821386396","1.7055998255386182","Laggard"
