"","Company","Year","Start Year Revenue (USD)","Revenue Growth (NYU CAGR)","Revenue Growth (S&P)","Scope 1 Emission Intensity (Company) (tCO2e/USD)","Scope 1 Emission Intensity (Sector Mean) (tCO2e/USD)","Scope 1 Emission Intensity (Sector Min) (tCO2e/USD)","Scope 1 Emission Intensity (Sector Max) (tCO2e/USD)","Scope 2 Emission Intensity (Company) (tCO2e/USD)","Scope 2 Emission Intensity (Sector Mean) (tCO2e/USD)","Scope 2 Emission Intensity (Sector Min) (tCO2e/USD)","Scope 2 Emission Intensity (Sector Max) (tCO2e/USD)","Scope 1&2 Emission Intensity (Company) (tCO2e/USD)","Scope 1&2 Emission Intensity (Sector Mean) (tCO2e/USD)","Scope 1&2 Emission Intensity (Sector Min) (tCO2e/USD)","Scope 1&2 Emission Intensity (Sector Max) (tCO2e/USD)","End Target (Current)","End Target (None to NZT)","End Target (Top 50% None to NZT)","Interim Target (Current)","Interim Target (None to 50% by 2030)","Slowdown (2022) End Target (Current) Revenue Growth (S&P)","Slowdown (2022) End Target (Current) Revenue Growth (NYU CAGR)","Slowdown (2022) End Target (None to NZT) Revenue Growth (S&P)","Slowdown (2022) End Target (None to NZT) Revenue Growth (NYU CAGR)","Slowdown (2022) End Target (Top 50% None to NZT) Revenue Growth (S&P)","Slowdown (2022) End Target (Top 50% None to NZT) Revenue Growth (NYU CAGR)","Slowdown (2030) End Target (Current) Revenue Growth (S&P)","Slowdown (2030) End Target (Current) Revenue Growth (NYU CAGR)","Slowdown (2030) End Target (None to NZT) Revenue Growth (S&P)","Slowdown (2030) End Target (None to NZT) Revenue Growth (NYU CAGR)","Slowdown (2030) End Target (Top 50% None to NZT) Revenue Growth (S&P)","Slowdown (2030) End Target (Top 50% None to NZT) Revenue Growth (NYU CAGR)","Slowdown (2040) End Target (Current) Revenue Growth (S&P)","Slowdown (2040) End Target (Current) Revenue Growth (NYU CAGR)","Slowdown (2040) End Target (None to NZT) Revenue Growth (S&P)","Slowdown (2040) End Target (None to NZT) Revenue Growth (NYU CAGR)","Slowdown (2040) End Target (Top 50% None to NZT) Revenue Growth (S&P)","Slowdown (2040) End Target (Top 50% None to NZT) Revenue Growth (NYU CAGR)","Company Type"
"900","aarti drugs","2021","21547798000.0","","1.2848290111563134","4.594436981449334e-09","0.0036597166357951","4.3782070366543495e-10","0.3272566666666666","2.157993127650445e-08","0.0013170382285369","8.973585815945e-10","0.063269297670345","2.6174368257953784e-08","0.005171122884093","1.2180404023688223e-09","0.378543","","1.0","","","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","Herd"
"901","aarti drugs","2022","21547798000.0","","1.4563575160461455","4.594436981449334e-09","0.0036597166357951","4.3782070366543495e-10","0.3272566666666666","2.157993127650445e-08","0.0013170382285369","8.973585815945e-10","0.063269297670345","2.6174368257953784e-08","0.005171122884093","1.2180404023688223e-09","0.378543","","0.9655172413793104","","","0.9444444444444444","2.6431800774142644","1.0","0.9655172413793104","0.9655172413793104","2.6431800774142644","1.0","1.4563575160461455","1.0","1.4563575160461455","0.9655172413793104","1.4563575160461455","1.0","1.4563575160461455","1.0","1.4563575160461455","0.9655172413793104","1.4563575160461455","1.0","Herd"
"902","aarti drugs","2023","21547798000.0","","1.6507855879089102","4.594436981449334e-09","0.0036597166357951","4.3782070366543495e-10","0.3272566666666666","2.157993127650445e-08","0.0013170382285369","8.973585815945e-10","0.063269297670345","2.6174368257953784e-08","0.005171122884093","1.2180404023688223e-09","0.378543","","0.9310344827586208","","","0.8888888888888888","4.286360154828529","1.0","0.9310344827586208","0.9310344827586208","4.286360154828529","1.0","1.6507855879089102","1.0","1.6507855879089102","0.9310344827586208","1.6507855879089102","1.0","1.6507855879089102","1.0","1.6507855879089102","0.9310344827586208","1.6507855879089102","1.0","Herd"
"903","aarti drugs","2024","21547798000.0","","1.8711703872316336","4.594436981449334e-09","0.0036597166357951","4.3782070366543495e-10","0.3272566666666666","2.157993127650445e-08","0.0013170382285369","8.973585815945e-10","0.063269297670345","2.6174368257953784e-08","0.005171122884093","1.2180404023688223e-09","0.378543","","0.896551724137931","","","0.8333333333333334","5.929540232242792","1.0","0.896551724137931","0.896551724137931","5.929540232242792","1.0","1.8711703872316336","1.0","1.8711703872316336","0.896551724137931","1.8711703872316336","1.0","1.8711703872316336","1.0","1.8711703872316336","0.896551724137931","1.8711703872316336","1.0","Herd"
"904","aarti drugs","2025","21547798000.0","","2.120977214544099","4.594436981449334e-09","0.0036597166357951","4.3782070366543495e-10","0.3272566666666666","2.157993127650445e-08","0.0013170382285369","8.973585815945e-10","0.063269297670345","2.6174368257953784e-08","0.005171122884093","1.2180404023688223e-09","0.378543","","0.8620689655172413","","","0.7777777777777778","7.572720309657057","1.0","0.8620689655172413","0.8620689655172413","7.572720309657057","1.0","2.120977214544099","1.0","2.120977214544099","0.8620689655172413","2.120977214544099","1.0","2.120977214544099","1.0","2.120977214544099","0.8620689655172413","2.120977214544099","1.0","Herd"
"905","aarti drugs","2026","21547798000.0","","2.4041339983317966","4.594436981449334e-09","0.0036597166357951","4.3782070366543495e-10","0.3272566666666666","2.157993127650445e-08","0.0013170382285369","8.973585815945e-10","0.063269297670345","2.6174368257953784e-08","0.005171122884093","1.2180404023688223e-09","0.378543","","0.8275862068965517","","","0.7222222222222222","9.21590038707132","1.0","0.8275862068965517","0.8275862068965517","9.21590038707132","1.0","2.4041339983317966","1.0","2.4041339983317966","0.8275862068965517","2.4041339983317966","1.0","2.4041339983317966","1.0","2.4041339983317966","0.8275862068965517","2.4041339983317966","1.0","Herd"
"906","aarti drugs","2027","21547798000.0","","2.7250930572477667","4.594436981449334e-09","0.0036597166357951","4.3782070366543495e-10","0.3272566666666666","2.157993127650445e-08","0.0013170382285369","8.973585815945e-10","0.063269297670345","2.6174368257953784e-08","0.005171122884093","1.2180404023688223e-09","0.378543","","0.7931034482758621","","","0.6666666666666667","10.859080464485585","1.0","0.7931034482758621","0.7931034482758621","10.859080464485585","1.0","2.7250930572477667","1.0","2.7250930572477667","0.7931034482758621","2.7250930572477667","1.0","2.7250930572477667","1.0","2.7250930572477667","0.7931034482758621","2.7250930572477667","1.0","Herd"
"907","aarti drugs","2028","21547798000.0","","3.0889011077639164","4.594436981449334e-09","0.0036597166357951","4.3782070366543495e-10","0.3272566666666666","2.157993127650445e-08","0.0013170382285369","8.973585815945e-10","0.063269297670345","2.6174368257953784e-08","0.005171122884093","1.2180404023688223e-09","0.378543","","0.7586206896551724","","","0.6111111111111112","12.50226054189985","1.0","0.7586206896551724","0.7586206896551724","12.50226054189985","1.0","3.0889011077639164","1.0","3.0889011077639164","0.7586206896551724","3.0889011077639164","1.0","3.0889011077639164","1.0","3.0889011077639164","0.7586206896551724","3.0889011077639164","1.0","Herd"
"908","aarti drugs","2029","21547798000.0","","3.501278618052583","4.594436981449334e-09","0.0036597166357951","4.3782070366543495e-10","0.3272566666666666","2.157993127650445e-08","0.0013170382285369","8.973585815945e-10","0.063269297670345","2.6174368257953784e-08","0.005171122884093","1.2180404023688223e-09","0.378543","","0.7241379310344828","","","0.5555555555555556","14.145440619314114","1.0","0.7241379310344828","0.7241379310344828","14.145440619314114","1.0","3.501278618052583","1.0","3.501278618052583","0.7241379310344828","3.501278618052583","1.0","3.501278618052583","1.0","3.501278618052583","0.7241379310344828","3.501278618052583","1.0","Herd"
"909","aarti drugs","2030","21547798000.0","","3.9687097558479536","4.594436981449334e-09","0.0036597166357951","4.3782070366543495e-10","0.3272566666666666","2.157993127650445e-08","0.0013170382285369","8.973585815945e-10","0.063269297670345","2.6174368257953784e-08","0.005171122884093","1.2180404023688223e-09","0.378543","","0.6896551724137931","","","0.5","15.788620696728378","1.0","0.6896551724137931","0.6896551724137931","15.788620696728378","1.0","5.651323552669777","1.0","3.334551064811984","0.6896551724137931","5.651323552669777","1.0","3.9687097558479536","1.0","3.9687097558479536","0.6896551724137931","3.9687097558479536","1.0","Herd"
