"","Company","Year","Start Year Revenue (USD)","Revenue Growth (NYU CAGR)","Revenue Growth (S&P)","Scope 1 Emission Intensity (Company) (tCO2e/USD)","Scope 1 Emission Intensity (Sector Mean) (tCO2e/USD)","Scope 1 Emission Intensity (Sector Min) (tCO2e/USD)","Scope 1 Emission Intensity (Sector Max) (tCO2e/USD)","Scope 2 Emission Intensity (Company) (tCO2e/USD)","Scope 2 Emission Intensity (Sector Mean) (tCO2e/USD)","Scope 2 Emission Intensity (Sector Min) (tCO2e/USD)","Scope 2 Emission Intensity (Sector Max) (tCO2e/USD)","Scope 1&2 Emission Intensity (Company) (tCO2e/USD)","Scope 1&2 Emission Intensity (Sector Mean) (tCO2e/USD)","Scope 1&2 Emission Intensity (Sector Min) (tCO2e/USD)","Scope 1&2 Emission Intensity (Sector Max) (tCO2e/USD)","End Target (Current)","End Target (None to NZT)","End Target (Top 50% None to NZT)","Interim Target (Current)","Interim Target (None to 50% by 2030)","Slowdown (2022) End Target (Current) Revenue Growth (S&P)","Slowdown (2022) End Target (Current) Revenue Growth (NYU CAGR)","Slowdown (2022) End Target (None to NZT) Revenue Growth (S&P)","Slowdown (2022) End Target (None to NZT) Revenue Growth (NYU CAGR)","Slowdown (2022) End Target (Top 50% None to NZT) Revenue Growth (S&P)","Slowdown (2022) End Target (Top 50% None to NZT) Revenue Growth (NYU CAGR)","Slowdown (2030) End Target (Current) Revenue Growth (S&P)","Slowdown (2030) End Target (Current) Revenue Growth (NYU CAGR)","Slowdown (2030) End Target (None to NZT) Revenue Growth (S&P)","Slowdown (2030) End Target (None to NZT) Revenue Growth (NYU CAGR)","Slowdown (2030) End Target (Top 50% None to NZT) Revenue Growth (S&P)","Slowdown (2030) End Target (Top 50% None to NZT) Revenue Growth (NYU CAGR)","Slowdown (2040) End Target (Current) Revenue Growth (S&P)","Slowdown (2040) End Target (Current) Revenue Growth (NYU CAGR)","Slowdown (2040) End Target (None to NZT) Revenue Growth (S&P)","Slowdown (2040) End Target (None to NZT) Revenue Growth (NYU CAGR)","Slowdown (2040) End Target (Top 50% None to NZT) Revenue Growth (S&P)","Slowdown (2040) End Target (Top 50% None to NZT) Revenue Growth (NYU CAGR)","Company Type"
"2700","adani wilmar","2021","370394060000.0","1.174133001621943","1.058194305647705","","0.0016086689309975","1.0704451213980752e-09","0.2305023250836416","","0.0010944141430757","1.1564386401286272e-08","0.189941757108481","","0.0016983504669614","1.4704135172228125e-08","0.241703481805235","","1.0","","","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","Laggard"
"2701","adani wilmar","2022","370394060000.0","1.272260203391973","1.088549368692949","","0.0016086689309975","1.0704451213980752e-09","0.2305023250836416","","0.0010944141430757","1.1564386401286272e-08","0.189941757108481","","0.0016983504669614","1.4704135172228125e-08","0.241703481805235","","0.9655172413793104","","","0.9444444444444444","1.0483812645019677","1.380681611860504","0.9655172413793104","0.9655172413793104","1.0483812645019677","1.380681611860504","1.088549368692949","1.272260203391973","1.088549368692949","1.272260203391973","1.088549368692949","1.272260203391973","1.088549368692949","1.272260203391973","1.088549368692949","1.272260203391973","1.088549368692949","1.272260203391973","Laggard"
"2702","adani wilmar","2023","370394060000.0","1.378588305497753","1.1197751885052285","","0.0016086689309975","1.0704451213980752e-09","0.2305023250836416","","0.0010944141430757","1.1564386401286272e-08","0.189941757108481","","0.0016983504669614","1.4704135172228125e-08","0.241703481805235","","0.9310344827586208","","","0.8888888888888888","1.0967625290039351","1.7613632237210082","0.9310344827586208","0.9310344827586208","1.0967625290039351","1.7613632237210082","1.1197751885052285","1.378588305497753","1.1197751885052285","1.378588305497753","1.1197751885052285","1.378588305497753","1.1197751885052285","1.378588305497753","1.1197751885052285","1.378588305497753","1.1197751885052285","1.378588305497753","Laggard"
"2703","adani wilmar","2024","370394060000.0","1.493802691452761","1.1518967433672829","","0.0016086689309975","1.0704451213980752e-09","0.2305023250836416","","0.0010944141430757","1.1564386401286272e-08","0.189941757108481","","0.0016983504669614","1.4704135172228125e-08","0.241703481805235","","0.896551724137931","","","0.8333333333333334","1.145143793505903","2.1420448355815127","0.896551724137931","0.896551724137931","1.145143793505903","2.1420448355815127","1.1518967433672829","1.493802691452761","1.1518967433672829","1.493802691452761","1.1518967433672829","1.493802691452761","1.1518967433672829","1.493802691452761","1.1518967433672829","1.493802691452761","1.1518967433672829","1.493802691452761","Laggard"
"2704","adani wilmar","2025","370394060000.0","1.6186460251349848","1.184939728081818","","0.0016086689309975","1.0704451213980752e-09","0.2305023250836416","","0.0010944141430757","1.1564386401286272e-08","0.189941757108481","","0.0016983504669614","1.4704135172228125e-08","0.241703481805235","","0.8620689655172413","","","0.7777777777777778","1.193525058007871","2.5227264474420164","0.8620689655172413","0.8620689655172413","1.193525058007871","2.5227264474420164","1.184939728081818","1.6186460251349848","1.184939728081818","1.6186460251349848","1.184939728081818","1.6186460251349848","1.184939728081818","1.6186460251349848","1.184939728081818","1.6186460251349848","1.184939728081818","1.6186460251349848","Laggard"
"2705","adani wilmar","2026","370394060000.0","1.7539230379463668","1.2189305745253944","","0.0016086689309975","1.0704451213980752e-09","0.2305023250836416","","0.0010944141430757","1.1564386401286272e-08","0.189941757108481","","0.0016983504669614","1.4704135172228125e-08","0.241703481805235","","0.8275862068965517","","","0.7222222222222222","1.2419063225098386","2.903408059302521","0.8275862068965517","0.8275862068965517","1.2419063225098386","2.903408059302521","1.2189305745253944","1.7539230379463668","1.2189305745253944","1.7539230379463668","1.2189305745253944","1.7539230379463668","1.2189305745253944","1.7539230379463668","1.2189305745253944","1.7539230379463668","1.2189305745253944","1.7539230379463668","Laggard"
"2706","adani wilmar","2027","370394060000.0","1.9005057160551664","1.25389647279192","","0.0016086689309975","1.0704451213980752e-09","0.2305023250836416","","0.0010944141430757","1.1564386401286272e-08","0.189941757108481","","0.0016983504669614","1.4704135172228125e-08","0.241703481805235","","0.7931034482758621","","","0.6666666666666667","1.290287587011806","3.284089671163025","0.7931034482758621","0.7931034482758621","1.290287587011806","3.284089671163025","1.25389647279192","1.9005057160551664","1.25389647279192","1.9005057160551664","1.25389647279192","1.9005057160551664","1.25389647279192","1.9005057160551664","1.25389647279192","1.9005057160551664","1.25389647279192","1.9005057160551664","Laggard"
"2707","adani wilmar","2028","370394060000.0","2.059338921157845","1.289865392942658","","0.0016086689309975","1.0704451213980752e-09","0.2305023250836416","","0.0010944141430757","1.1564386401286272e-08","0.189941757108481","","0.0016983504669614","1.4704135172228125e-08","0.241703481805235","","0.7586206896551724","","","0.6111111111111112","1.338668851513774","3.664771283023529","0.7586206896551724","0.7586206896551724","1.338668851513774","3.664771283023529","1.289865392942658","2.059338921157845","1.289865392942658","2.059338921157845","1.289865392942658","2.059338921157845","1.289865392942658","2.059338921157845","1.289865392942658","2.059338921157845","1.289865392942658","2.059338921157845","Laggard"
"2708","adani wilmar","2029","370394060000.0","2.231446480991512","1.326866107380152","","0.0016086689309975","1.0704451213980752e-09","0.2305023250836416","","0.0010944141430757","1.1564386401286272e-08","0.189941757108481","","0.0016983504669614","1.4704135172228125e-08","0.241703481805235","","0.7241379310344828","","","0.5555555555555556","1.3870501160157416","4.045452894884033","0.7241379310344828","0.7241379310344828","1.3870501160157416","4.045452894884033","1.326866107380152","2.231446480991512","1.326866107380152","2.231446480991512","1.326866107380152","2.231446480991512","1.326866107380152","2.231446480991512","1.326866107380152","2.231446480991512","1.326866107380152","2.231446480991512","Laggard"
"2709","adani wilmar","2030","370394060000.0","2.417937788855953","1.36492821386396","","0.0016086689309975","1.0704451213980752e-09","0.2305023250836416","","0.0010944141430757","1.1564386401286272e-08","0.189941757108481","","0.0016983504669614","1.4704135172228125e-08","0.241703481805235","","0.6896551724137931","","","0.5","1.4354313805177092","4.426134506744537","0.6896551724137931","0.6896551724137931","1.4354313805177092","4.426134506744537","1.378113277055243","2.6985093506564217","1.2636820070287162","2.125187124753821","1.378113277055243","2.6985093506564217","1.36492821386396","2.417937788855953","1.36492821386396","2.417937788855953","1.36492821386396","2.417937788855953","Laggard"
