"","Company","Year","Start Year Revenue (USD)","Revenue Growth (NYU CAGR)","Revenue Growth (S&P)","Scope 1 Emission Intensity (Company) (tCO2e/USD)","Scope 1 Emission Intensity (Sector Mean) (tCO2e/USD)","Scope 1 Emission Intensity (Sector Min) (tCO2e/USD)","Scope 1 Emission Intensity (Sector Max) (tCO2e/USD)","Scope 2 Emission Intensity (Company) (tCO2e/USD)","Scope 2 Emission Intensity (Sector Mean) (tCO2e/USD)","Scope 2 Emission Intensity (Sector Min) (tCO2e/USD)","Scope 2 Emission Intensity (Sector Max) (tCO2e/USD)","Scope 1&2 Emission Intensity (Company) (tCO2e/USD)","Scope 1&2 Emission Intensity (Sector Mean) (tCO2e/USD)","Scope 1&2 Emission Intensity (Sector Min) (tCO2e/USD)","Scope 1&2 Emission Intensity (Sector Max) (tCO2e/USD)","End Target (Current)","End Target (None to NZT)","End Target (Top 50% None to NZT)","Interim Target (Current)","Interim Target (None to 50% by 2030)","Slowdown (2022) End Target (Current) Revenue Growth (S&P)","Slowdown (2022) End Target (Current) Revenue Growth (NYU CAGR)","Slowdown (2022) End Target (None to NZT) Revenue Growth (S&P)","Slowdown (2022) End Target (None to NZT) Revenue Growth (NYU CAGR)","Slowdown (2022) End Target (Top 50% None to NZT) Revenue Growth (S&P)","Slowdown (2022) End Target (Top 50% None to NZT) Revenue Growth (NYU CAGR)","Slowdown (2030) End Target (Current) Revenue Growth (S&P)","Slowdown (2030) End Target (Current) Revenue Growth (NYU CAGR)","Slowdown (2030) End Target (None to NZT) Revenue Growth (S&P)","Slowdown (2030) End Target (None to NZT) Revenue Growth (NYU CAGR)","Slowdown (2030) End Target (Top 50% None to NZT) Revenue Growth (S&P)","Slowdown (2030) End Target (Top 50% None to NZT) Revenue Growth (NYU CAGR)","Slowdown (2040) End Target (Current) Revenue Growth (S&P)","Slowdown (2040) End Target (Current) Revenue Growth (NYU CAGR)","Slowdown (2040) End Target (None to NZT) Revenue Growth (S&P)","Slowdown (2040) End Target (None to NZT) Revenue Growth (NYU CAGR)","Slowdown (2040) End Target (Top 50% None to NZT) Revenue Growth (S&P)","Slowdown (2040) End Target (Top 50% None to NZT) Revenue Growth (NYU CAGR)","Company Type"
"1560","acadia healthcare","2021","2314394000.0","1.1623925301160447","1.2848290111563134","","0.0036597166357951","4.3782070366543495e-10","0.3272566666666666","","0.0013170382285369","8.973585815945e-10","0.063269297670345","","0.005171122884093","1.2180404023688223e-09","0.378543","","1.0","","","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","Laggard"
"1561","acadia healthcare","2022","2314394000.0","1.2532254783098733","1.4563575160461455","","0.0036597166357951","4.3782070366543495e-10","0.3272566666666666","","0.0013170382285369","8.973585815945e-10","0.063269297670345","","0.005171122884093","1.2180404023688223e-09","0.378543","","0.9655172413793104","","","0.9444444444444444","2.6431800774142644","1.320797080230269","0.9655172413793104","0.9655172413793104","2.6431800774142644","1.320797080230269","1.4563575160461455","1.2532254783098733","1.4563575160461455","1.2532254783098733","1.4563575160461455","1.2532254783098733","1.4563575160461455","1.2532254783098733","1.4563575160461455","1.2532254783098733","1.4563575160461455","1.2532254783098733","Laggard"
"1562","acadia healthcare","2023","2314394000.0","1.35115639406958","1.6507855879089102","","0.0036597166357951","4.3782070366543495e-10","0.3272566666666666","","0.0013170382285369","8.973585815945e-10","0.063269297670345","","0.005171122884093","1.2180404023688223e-09","0.378543","","0.9310344827586208","","","0.8888888888888888","4.286360154828529","1.6415941604605386","0.9310344827586208","0.9310344827586208","4.286360154828529","1.6415941604605386","1.6507855879089102","1.35115639406958","1.6507855879089102","1.35115639406958","1.6507855879089102","1.35115639406958","1.6507855879089102","1.35115639406958","1.6507855879089102","1.35115639406958","1.6507855879089102","1.35115639406958","Laggard"
"1563","acadia healthcare","2024","2314394000.0","1.456739934538504","1.8711703872316336","","0.0036597166357951","4.3782070366543495e-10","0.3272566666666666","","0.0013170382285369","8.973585815945e-10","0.063269297670345","","0.005171122884093","1.2180404023688223e-09","0.378543","","0.896551724137931","","","0.8333333333333334","5.929540232242792","1.962391240690808","0.896551724137931","0.896551724137931","5.929540232242792","1.962391240690808","1.8711703872316336","1.456739934538504","1.8711703872316336","1.456739934538504","1.8711703872316336","1.456739934538504","1.8711703872316336","1.456739934538504","1.8711703872316336","1.456739934538504","1.8711703872316336","1.456739934538504","Laggard"
"1564","acadia healthcare","2025","2314394000.0","1.570574099485011","2.120977214544099","","0.0036597166357951","4.3782070366543495e-10","0.3272566666666666","","0.0013170382285369","8.973585815945e-10","0.063269297670345","","0.005171122884093","1.2180404023688223e-09","0.378543","","0.8620689655172413","","","0.7777777777777778","7.572720309657057","2.2831883209210773","0.8620689655172413","0.8620689655172413","7.572720309657057","2.2831883209210773","2.120977214544099","1.570574099485011","2.120977214544099","1.570574099485011","2.120977214544099","1.570574099485011","2.120977214544099","1.570574099485011","2.120977214544099","1.570574099485011","2.120977214544099","1.570574099485011","Laggard"
"1565","acadia healthcare","2026","2314394000.0","1.693303618229293","2.4041339983317966","","0.0036597166357951","4.3782070366543495e-10","0.3272566666666666","","0.0013170382285369","8.973585815945e-10","0.063269297670345","","0.005171122884093","1.2180404023688223e-09","0.378543","","0.8275862068965517","","","0.7222222222222222","9.21590038707132","2.6039854011513466","0.8275862068965517","0.8275862068965517","9.21590038707132","2.6039854011513466","2.4041339983317966","1.693303618229293","2.4041339983317966","1.693303618229293","2.4041339983317966","1.693303618229293","2.4041339983317966","1.693303618229293","2.4041339983317966","1.693303618229293","2.4041339983317966","1.693303618229293","Laggard"
"1566","acadia healthcare","2027","2314394000.0","1.8256236012351104","2.7250930572477667","","0.0036597166357951","4.3782070366543495e-10","0.3272566666666666","","0.0013170382285369","8.973585815945e-10","0.063269297670345","","0.005171122884093","1.2180404023688223e-09","0.378543","","0.7931034482758621","","","0.6666666666666667","10.859080464485585","2.924782481381616","0.7931034482758621","0.7931034482758621","10.859080464485585","2.924782481381616","2.7250930572477667","1.8256236012351104","2.7250930572477667","1.8256236012351104","2.7250930572477667","1.8256236012351104","2.7250930572477667","1.8256236012351104","2.7250930572477667","1.8256236012351104","2.7250930572477667","1.8256236012351104","Laggard"
"1567","acadia healthcare","2028","2314394000.0","1.9682834770482012","3.0889011077639164","","0.0036597166357951","4.3782070366543495e-10","0.3272566666666666","","0.0013170382285369","8.973585815945e-10","0.063269297670345","","0.005171122884093","1.2180404023688223e-09","0.378543","","0.7586206896551724","","","0.6111111111111112","12.50226054189985","3.245579561611885","0.7586206896551724","0.7586206896551724","12.50226054189985","3.245579561611885","3.0889011077639164","1.9682834770482007","3.0889011077639164","1.9682834770482007","3.0889011077639164","1.9682834770482007","3.0889011077639164","1.9682834770482007","3.0889011077639164","1.9682834770482007","3.0889011077639164","1.9682834770482007","Laggard"
"1568","acadia healthcare","2029","2314394000.0","2.1220912368792453","3.501278618052583","","0.0036597166357951","4.3782070366543495e-10","0.3272566666666666","","0.0013170382285369","8.973585815945e-10","0.063269297670345","","0.005171122884093","1.2180404023688223e-09","0.378543","","0.7241379310344828","","","0.5555555555555556","14.145440619314114","3.5663766418421545","0.7241379310344828","0.7241379310344828","14.145440619314114","3.5663766418421545","3.501278618052583","2.1220912368792453","3.501278618052583","2.1220912368792453","3.501278618052583","2.1220912368792453","3.501278618052583","2.1220912368792453","3.501278618052583","2.1220912368792453","3.501278618052583","2.1220912368792453","Laggard"
"1569","acadia healthcare","2030","2314394000.0","2.287918010871665","3.9687097558479536","","0.0036597166357951","4.3782070366543495e-10","0.3272566666666666","","0.0013170382285369","8.973585815945e-10","0.063269297670345","","0.005171122884093","1.2180404023688223e-09","0.378543","","0.6896551724137931","","","0.5","15.788620696728378","3.887173722072424","0.6896551724137931","0.6896551724137931","15.788620696728378","3.887173722072424","5.651323552669777","2.511663812583939","3.334551064811984","2.021039273218329","5.651323552669777","2.511663812583939","3.9687097558479536","2.287918010871665","3.9687097558479536","2.287918010871665","3.9687097558479536","2.287918010871665","Laggard"
