"","Company","Year","Start Year Revenue (USD)","Revenue Growth (NYU CAGR)","Revenue Growth (S&P)","Scope 1 Emission Intensity (Company) (tCO2e/USD)","Scope 1 Emission Intensity (Sector Mean) (tCO2e/USD)","Scope 1 Emission Intensity (Sector Min) (tCO2e/USD)","Scope 1 Emission Intensity (Sector Max) (tCO2e/USD)","Scope 2 Emission Intensity (Company) (tCO2e/USD)","Scope 2 Emission Intensity (Sector Mean) (tCO2e/USD)","Scope 2 Emission Intensity (Sector Min) (tCO2e/USD)","Scope 2 Emission Intensity (Sector Max) (tCO2e/USD)","Scope 1&2 Emission Intensity (Company) (tCO2e/USD)","Scope 1&2 Emission Intensity (Sector Mean) (tCO2e/USD)","Scope 1&2 Emission Intensity (Sector Min) (tCO2e/USD)","Scope 1&2 Emission Intensity (Sector Max) (tCO2e/USD)","End Target (Current)","End Target (None to NZT)","End Target (Top 50% None to NZT)","Interim Target (Current)","Interim Target (None to 50% by 2030)","Slowdown (2022) End Target (Current) Revenue Growth (S&P)","Slowdown (2022) End Target (Current) Revenue Growth (NYU CAGR)","Slowdown (2022) End Target (None to NZT) Revenue Growth (S&P)","Slowdown (2022) End Target (None to NZT) Revenue Growth (NYU CAGR)","Slowdown (2022) End Target (Top 50% None to NZT) Revenue Growth (S&P)","Slowdown (2022) End Target (Top 50% None to NZT) Revenue Growth (NYU CAGR)","Slowdown (2030) End Target (Current) Revenue Growth (S&P)","Slowdown (2030) End Target (Current) Revenue Growth (NYU CAGR)","Slowdown (2030) End Target (None to NZT) Revenue Growth (S&P)","Slowdown (2030) End Target (None to NZT) Revenue Growth (NYU CAGR)","Slowdown (2030) End Target (Top 50% None to NZT) Revenue Growth (S&P)","Slowdown (2030) End Target (Top 50% None to NZT) Revenue Growth (NYU CAGR)","Slowdown (2040) End Target (Current) Revenue Growth (S&P)","Slowdown (2040) End Target (Current) Revenue Growth (NYU CAGR)","Slowdown (2040) End Target (None to NZT) Revenue Growth (S&P)","Slowdown (2040) End Target (None to NZT) Revenue Growth (NYU CAGR)","Slowdown (2040) End Target (Top 50% None to NZT) Revenue Growth (S&P)","Slowdown (2040) End Target (Top 50% None to NZT) Revenue Growth (NYU CAGR)","Company Type"
"3210","adler real estate","2021","1766460000.0","1.163817720277886","1.1016055068855908","","0.0007838327974649","5.514327051642654e-10","0.0758241659155932","","0.0021118982077218","1.6590106143762163e-08","0.1630507120990283","","0.0028909560135535","1.714153884892643e-08","0.1785714285714285","","1.0","","","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","Laggard"
"3211","adler real estate","2022","1766460000.0","1.2555310230415084","1.156216459139862","","0.0007838327974649","5.514327051642654e-10","0.0758241659155932","","0.0021118982077218","1.6590106143762163e-08","0.1630507120990283","","0.0028909560135535","1.714153884892643e-08","0.1785714285714285","","0.9655172413793104","","","0.9444444444444444","1.1200450071353456","1.3276092724081017","0.9655172413793104","0.9655172413793104","1.1200450071353456","1.3276092724081017","1.156216459139862","1.2555310230415084","1.156216459139862","1.2555310230415084","1.156216459139862","1.2555310230415084","1.156216459139862","1.2555310230415084","1.156216459139862","1.2555310230415084","1.156216459139862","1.2555310230415084","Laggard"
"3212","adler real estate","2023","1766460000.0","1.354471686032816","1.2135346928006596","","0.0007838327974649","5.514327051642654e-10","0.0758241659155932","","0.0021118982077218","1.6590106143762163e-08","0.1630507120990283","","0.0028909560135535","1.714153884892643e-08","0.1785714285714285","","0.9310344827586208","","","0.8888888888888888","1.2400900142706912","1.6552185448162031","0.9310344827586208","0.9310344827586208","1.2400900142706912","1.6552185448162031","1.2135346928006596","1.354471686032816","1.2135346928006596","1.354471686032816","1.2135346928006596","1.354471686032816","1.2135346928006596","1.354471686032816","1.2135346928006596","1.354471686032816","1.2135346928006596","1.354471686032816","Laggard"
"3213","adler real estate","2024","1766460000.0","1.4612092529743306","1.2736944185402308","","0.0007838327974649","5.514327051642654e-10","0.0758241659155932","","0.0021118982077218","1.6590106143762163e-08","0.1630507120990283","","0.0028909560135535","1.714153884892643e-08","0.1785714285714285","","0.896551724137931","","","0.8333333333333334","1.360135021406037","1.9828278172243048","0.896551724137931","0.896551724137931","1.360135021406037","1.9828278172243048","1.2736944185402308","1.4612092529743306","1.2736944185402308","1.4612092529743306","1.2736944185402308","1.4612092529743306","1.2736944185402308","1.4612092529743306","1.2736944185402308","1.4612092529743306","1.2736944185402308","1.4612092529743306","Laggard"
"3214","adler real estate","2025","1766460000.0","1.5763581498196568","1.3368365003859204","","0.0007838327974649","5.514327051642654e-10","0.0758241659155932","","0.0021118982077218","1.6590106143762163e-08","0.1630507120990283","","0.0028909560135535","1.714153884892643e-08","0.1785714285714285","","0.8620689655172413","","","0.7777777777777778","1.4801800285413826","2.3104370896324067","0.8620689655172413","0.8620689655172413","1.4801800285413826","2.3104370896324067","1.3368365003859204","1.5763581498196568","1.3368365003859204","1.5763581498196568","1.3368365003859204","1.5763581498196568","1.3368365003859204","1.5763581498196568","1.3368365003859204","1.5763581498196568","1.3368365003859204","1.5763581498196568","Laggard"
"3215","adler real estate","2026","1766460000.0","1.7005812216455385","1.4031087855533588","","0.0007838327974649","5.514327051642654e-10","0.0758241659155932","","0.0021118982077218","1.6590106143762163e-08","0.1630507120990283","","0.0028909560135535","1.714153884892643e-08","0.1785714285714285","","0.8275862068965517","","","0.7222222222222222","1.6002250356767282","2.638046362040508","0.8275862068965517","0.8275862068965517","1.6002250356767282","2.638046362040508","1.4031087855533588","1.7005812216455385","1.4031087855533588","1.7005812216455385","1.4031087855533588","1.7005812216455385","1.4031087855533588","1.7005812216455385","1.4031087855533588","1.7005812216455385","1.4031087855533588","1.7005812216455385","Laggard"
"3216","adler real estate","2027","1766460000.0","1.8345935482645797","1.4726664506307912","","0.0007838327974649","5.514327051642654e-10","0.0758241659155932","","0.0021118982077218","1.6590106143762163e-08","0.1630507120990283","","0.0028909560135535","1.714153884892643e-08","0.1785714285714285","","0.7931034482758621","","","0.6666666666666667","1.720270042812074","2.9656556344486096","0.7931034482758621","0.7931034482758621","1.720270042812074","2.9656556344486096","1.4726664506307912","1.83459354826458","1.4726664506307912","1.83459354826458","1.4726664506307912","1.83459354826458","1.4726664506307912","1.83459354826458","1.4726664506307912","1.83459354826458","1.4726664506307912","1.83459354826458","Laggard"
"3217","adler real estate","2028","1766460000.0","1.9791665605228927","1.5456723649251338","","0.0007838327974649","5.514327051642654e-10","0.0758241659155932","","0.0021118982077218","1.6590106143762163e-08","0.1630507120990283","","0.0028909560135535","1.714153884892643e-08","0.1785714285714285","","0.7586206896551724","","","0.6111111111111112","1.8403150499474197","3.2932649068567112","0.7586206896551724","0.7586206896551724","1.8403150499474197","3.2932649068567112","1.5456723649251338","1.9791665605228927","1.5456723649251338","1.9791665605228927","1.5456723649251338","1.9791665605228927","1.5456723649251338","1.9791665605228927","1.5456723649251338","1.9791665605228927","1.5456723649251338","1.9791665605228927","Laggard"
"3218","adler real estate","2029","1766460000.0","2.135132480977801","1.6222974718205367","","0.0007838327974649","5.514327051642654e-10","0.0758241659155932","","0.0021118982077218","1.6590106143762163e-08","0.1630507120990283","","0.0028909560135535","1.714153884892643e-08","0.1785714285714285","","0.7241379310344828","","","0.5555555555555556","1.9603600570827653","3.620874179264813","0.7241379310344828","0.7241379310344828","1.9603600570827653","3.620874179264813","1.6222974718205367","2.135132480977801","1.6222974718205367","2.135132480977801","1.6222974718205367","2.135132480977801","1.6222974718205367","2.135132480977801","1.6222974718205367","2.135132480977801","1.6222974718205367","2.135132480977801","Laggard"
"3219","adler real estate","2030","1766460000.0","2.3033891145179783","1.702721189042402","","0.0007838327974649","5.514327051642654e-10","0.0758241659155932","","0.0021118982077218","1.6590106143762163e-08","0.1630507120990283","","0.0028909560135535","1.714153884892643e-08","0.1785714285714285","","0.6896551724137931","","","0.5","2.0804050642181107","3.9484834516729146","0.6896551724137931","0.6896551724137931","2.0804050642181107","3.9484834516729146","1.7584406973017028","2.533491358066237","1.545045211257654","2.033459505693144","1.7584406973017028","2.533491358066237","1.702721189042402","2.3033891145179783","1.702721189042402","2.3033891145179783","1.702721189042402","2.3033891145179783","Laggard"
