"","Company","Year","Start Year Revenue (USD)","Revenue Growth (NYU CAGR)","Revenue Growth (S&P)","Scope 1 Emission Intensity (Company) (tCO2e/USD)","Scope 1 Emission Intensity (Sector Mean) (tCO2e/USD)","Scope 1 Emission Intensity (Sector Min) (tCO2e/USD)","Scope 1 Emission Intensity (Sector Max) (tCO2e/USD)","Scope 2 Emission Intensity (Company) (tCO2e/USD)","Scope 2 Emission Intensity (Sector Mean) (tCO2e/USD)","Scope 2 Emission Intensity (Sector Min) (tCO2e/USD)","Scope 2 Emission Intensity (Sector Max) (tCO2e/USD)","Scope 1&2 Emission Intensity (Company) (tCO2e/USD)","Scope 1&2 Emission Intensity (Sector Mean) (tCO2e/USD)","Scope 1&2 Emission Intensity (Sector Min) (tCO2e/USD)","Scope 1&2 Emission Intensity (Sector Max) (tCO2e/USD)","End Target (Current)","End Target (None to NZT)","End Target (Top 50% None to NZT)","Interim Target (Current)","Interim Target (None to 50% by 2030)","Slowdown (2022) End Target (Current) Revenue Growth (S&P)","Slowdown (2022) End Target (Current) Revenue Growth (NYU CAGR)","Slowdown (2022) End Target (None to NZT) Revenue Growth (S&P)","Slowdown (2022) End Target (None to NZT) Revenue Growth (NYU CAGR)","Slowdown (2022) End Target (Top 50% None to NZT) Revenue Growth (S&P)","Slowdown (2022) End Target (Top 50% None to NZT) Revenue Growth (NYU CAGR)","Slowdown (2030) End Target (Current) Revenue Growth (S&P)","Slowdown (2030) End Target (Current) Revenue Growth (NYU CAGR)","Slowdown (2030) End Target (None to NZT) Revenue Growth (S&P)","Slowdown (2030) End Target (None to NZT) Revenue Growth (NYU CAGR)","Slowdown (2030) End Target (Top 50% None to NZT) Revenue Growth (S&P)","Slowdown (2030) End Target (Top 50% None to NZT) Revenue Growth (NYU CAGR)","Slowdown (2040) End Target (Current) Revenue Growth (S&P)","Slowdown (2040) End Target (Current) Revenue Growth (NYU CAGR)","Slowdown (2040) End Target (None to NZT) Revenue Growth (S&P)","Slowdown (2040) End Target (None to NZT) Revenue Growth (NYU CAGR)","Slowdown (2040) End Target (Top 50% None to NZT) Revenue Growth (S&P)","Slowdown (2040) End Target (Top 50% None to NZT) Revenue Growth (NYU CAGR)","Company Type"
"3690","advanced micro devices inc xnasamd","2021","16434000000.0","1.0886980790578416","1.021711144315097","1.753072897651211e-07","0.0004695435377454","1.7558519937836708e-10","0.0484282036278525","2.370451502981624e-06","0.0049139346799211","7.745419137824201e-11","0.5975841678887017","2.5457587927467445e-06","0.0053671947035583","4.8237897962658196e-09","0.5995822784810126","","1.0","","","","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","Herd"
"3691","advanced micro devices inc xnasamd","2022","16434000000.0","1.1359551503571903","1.0327428471657552","1.753072897651211e-07","0.0004695435377454","1.7558519937836708e-10","0.0484282036278525","2.370451502981624e-06","0.0049139346799211","7.745419137824201e-11","0.5975841678887017","2.5457587927467445e-06","0.0053671947035583","4.8237897962658196e-09","0.5995822784810126","","0.9655172413793104","","","","1.0136219983006796","1.094243628372788","0.9655172413793104","0.9655172413793104","1.0136219983006796","1.094243628372788","1.0327428471657552","1.1359551503571903","1.0327428471657552","1.1359551503571903","1.0327428471657552","1.1359551503571903","1.0327428471657552","1.1359551503571903","1.0327428471657552","1.1359551503571903","1.0327428471657552","1.1359551503571903","Herd"
"3692","advanced micro devices inc xnasamd","2023","16434000000.0","1.185263507344234","1.0438936624176651","1.753072897651211e-07","0.0004695435377454","1.7558519937836708e-10","0.0484282036278525","2.370451502981624e-06","0.0049139346799211","7.745419137824201e-11","0.5975841678887017","2.5457587927467445e-06","0.0053671947035583","4.8237897962658196e-09","0.5995822784810126","","0.9310344827586208","","","","1.027243996601359","1.1884872567455758","0.9310344827586208","0.9310344827586208","1.027243996601359","1.1884872567455758","1.0438936624176651","1.185263507344234","1.0438936624176651","1.185263507344234","1.0438936624176651","1.185263507344234","1.0438936624176651","1.185263507344234","1.0438936624176651","1.185263507344234","1.0438936624176651","1.185263507344234","Herd"
"3693","advanced micro devices inc xnasamd","2024","16434000000.0","1.2367121900897349","1.0551648761609551","1.753072897651211e-07","0.0004695435377454","1.7558519937836708e-10","0.0484282036278525","2.370451502981624e-06","0.0049139346799211","7.745419137824201e-11","0.5975841678887017","2.5457587927467445e-06","0.0053671947035583","4.8237897962658196e-09","0.5995822784810126","","0.896551724137931","","","","1.0408659949020385","1.282730885118364","0.896551724137931","0.896551724137931","1.0408659949020385","1.282730885118364","1.0551648761609551","1.2367121900897349","1.0551648761609551","1.2367121900897349","1.0551648761609551","1.2367121900897349","1.0551648761609551","1.2367121900897349","1.0551648761609551","1.2367121900897349","1.0551648761609551","1.2367121900897349","Herd"
"3694","advanced micro devices inc xnasamd","2025","16434000000.0","1.2903941036230273","1.0665577883720303","1.753072897651211e-07","0.0004695435377454","1.7558519937836708e-10","0.0484282036278525","2.370451502981624e-06","0.0049139346799211","7.745419137824201e-11","0.5975841678887017","2.5457587927467445e-06","0.0053671947035583","4.8237897962658196e-09","0.5995822784810126","","0.8620689655172413","","","","1.054487993202718","1.3769745134911515","0.8620689655172413","0.8620689655172413","1.054487993202718","1.3769745134911515","1.0665577883720303","1.2903941036230273","1.0665577883720303","1.2903941036230273","1.0665577883720303","1.2903941036230273","1.0665577883720303","1.2903941036230273","1.0665577883720303","1.2903941036230273","1.0665577883720303","1.2903941036230273","Herd"
"3695","advanced micro devices inc xnasamd","2026","16434000000.0","1.3464061856981104","1.078073713063507","1.753072897651211e-07","0.0004695435377454","1.7558519937836708e-10","0.0484282036278525","2.370451502981624e-06","0.0049139346799211","7.745419137824201e-11","0.5975841678887017","2.5457587927467445e-06","0.0053671947035583","4.8237897962658196e-09","0.5995822784810126","","0.8275862068965517","","","","1.0681099915033974","1.4712181418639396","0.8275862068965517","0.8275862068965517","1.0681099915033974","1.4712181418639396","1.078073713063507","1.3464061856981104","1.078073713063507","1.3464061856981104","1.078073713063507","1.3464061856981104","1.078073713063507","1.3464061856981104","1.078073713063507","1.3464061856981104","1.078073713063507","1.3464061856981104","Herd"
"3696","advanced micro devices inc xnasamd","2027","16434000000.0","1.404849581841955","1.089713978435766","1.753072897651211e-07","0.0004695435377454","1.7558519937836708e-10","0.0484282036278525","2.370451502981624e-06","0.0049139346799211","7.745419137824201e-11","0.5975841678887017","2.5457587927467445e-06","0.0053671947035583","4.8237897962658196e-09","0.5995822784810126","","0.7931034482758621","","","","1.081731989804077","1.5654617702367275","0.7931034482758621","0.7931034482758621","1.081731989804077","1.5654617702367275","1.089713978435766","1.404849581841955","1.089713978435766","1.404849581841955","1.089713978435766","1.404849581841955","1.089713978435766","1.404849581841955","1.089713978435766","1.404849581841955","1.089713978435766","1.404849581841955","Herd"
"3697","advanced micro devices inc xnasamd","2028","16434000000.0","1.4658298280011282","1.1014799270301414","1.753072897651211e-07","0.0004695435377454","1.7558519937836708e-10","0.0484282036278525","2.370451502981624e-06","0.0049139346799211","7.745419137824201e-11","0.5975841678887017","2.5457587927467445e-06","0.0053671947035583","4.8237897962658196e-09","0.5995822784810126","","0.7586206896551724","","","","1.0953539881047565","1.6597053986095154","0.7586206896551724","0.7586206896551724","1.0953539881047565","1.6597053986095154","1.1014799270301414","1.4658298280011282","1.1014799270301414","1.4658298280011282","1.1014799270301414","1.4658298280011282","1.1014799270301414","1.4658298280011282","1.1014799270301414","1.4658298280011282","1.1014799270301414","1.4658298280011282","Herd"
"3698","advanced micro devices inc xnasamd","2029","16434000000.0","1.5294570411165485","1.1133729158837635","1.753072897651211e-07","0.0004695435377454","1.7558519937836708e-10","0.0484282036278525","2.370451502981624e-06","0.0049139346799211","7.745419137824201e-11","0.5975841678887017","2.5457587927467445e-06","0.0053671947035583","4.8237897962658196e-09","0.5995822784810126","","0.7241379310344828","","","","1.108975986405436","1.7539490269823033","0.7241379310344828","0.7241379310344828","1.108975986405436","1.7539490269823033","1.1133729158837635","1.5294570411165485","1.1133729158837635","1.5294570411165485","1.1133729158837635","1.5294570411165485","1.1133729158837635","1.5294570411165485","1.1133729158837635","1.5294570411165485","1.1133729158837635","1.5294570411165485","Herd"
"3699","advanced micro devices inc xnasamd","2030","16434000000.0","1.5958461179705143","1.1253943166860754","1.753072897651211e-07","0.0004695435377454","1.7558519937836708e-10","0.0484282036278525","2.370451502981624e-06","0.0049139346799211","7.745419137824201e-11","0.5975841678887017","2.5457587927467445e-06","0.0053671947035583","4.8237897962658196e-09","0.5995822784810126","","0.6896551724137931","","","","1.1225979847061154","1.8481926553550911","0.6896551724137931","0.6896551724137931","1.1225979847061154","1.8481926553550911","1.1267855365902368","1.6343907640543722","1.0603551579845367","1.456625753444332","1.1267855365902368","1.6343907640543722","1.1253943166860754","1.5958461179705143","1.1253943166860754","1.5958461179705143","1.1253943166860754","1.5958461179705143","Herd"
