A3ID,Company,Sector,Year,Start Year Revenue,Revenue Growth (S&P),Revenue Growth (Historic),Scope 1 Intensity (Company),Scope 1 Intensity (Sector Mean),Scope 1 Intensity (Sector Min),Scope 1 Intensity (Sector Max),Scope 2 Intensity (Company),Scope 2 Intensity (Sector Mean),Scope 2 Intensity (Sector Min),Scope 2 Intensity (Sector Max),Scope 1&2 Intensity (Company),Scope 1&2 Intensity (Sector Mean),Scope 1&2 Intensity (Sector Min),Scope 1&2 Intensity (Sector Max),End Target (None) ,End Target (Current),End Target (None to NZT),End Target (50% largest to NZT),Interim Target (None),Interim Target (Current),Interim Target (All to 50% by 2030),Slowdown (2030),Slowdown (2040),Expected CDR Cost,$ for meeting with CDR (10%),$ for meeting with CDR (50%),$ for meeting with CDR (75%)
1,A,Manufacturing,2021,10000000000,1,1,0.025,0.03,0.01,0.05,0.05,0.04,0.02,0.05,0.075,0.04,0.02,0.05,1,1,1,1,1,1,1,1,1,100,10,50,75
1,A,Manufacturing,2022,10000000000,1.02,1.0475,0.025,0.03,0.01,0.05,0.05,0.04,0.02,0.05,0.075,0.04,0.02,0.05,1,0.9655,0.9655,0.9655,0.9655,0.944,0.944,1,1,100,10,50,75
1,A,Manufacturing,2023,10000000000,1.0404,1.09725625,0.025,0.03,0.01,0.05,0.05,0.04,0.02,0.05,0.075,0.04,0.02,0.05,1,0.931,0.931,0.931,0.931,0.888,0.888,1,1,100,10,50,75
1,A,Manufacturing,2024,10000000000,1.061208,1.149375922,0.025,0.03,0.01,0.05,0.05,0.04,0.02,0.05,0.075,0.04,0.02,0.05,1,0.8965,0.8965,0.8965,0.8965,0.832,0.832,1,1,100,10,50,75
1,A,Manufacturing,2025,10000000000,1.08243216,1.203971278,0.025,0.03,0.01,0.05,0.05,0.04,0.02,0.05,0.075,0.04,0.02,0.05,1,0.862,0.862,0.862,0.862,0.776,0.776,1,1,100,10,50,75
1,A,Manufacturing,2026,10000000000,1.104080803,1.261159914,0.025,0.03,0.01,0.05,0.05,0.04,0.02,0.05,0.075,0.04,0.02,0.05,1,0.8275,0.8275,0.8275,0.8275,0.72,0.72,1,1,100,10,50,75
1,A,Manufacturing,2027,10000000000,1.126162419,1.32106501,0.025,0.03,0.01,0.05,0.05,0.04,0.02,0.05,0.075,0.04,0.02,0.05,1,0.793,0.793,0.793,0.793,0.664,0.664,1,1,100,10,50,75
1,A,Manufacturing,2028,10000000000,1.148685668,1.383815598,0.025,0.03,0.01,0.05,0.05,0.04,0.02,0.05,0.075,0.04,0.02,0.05,1,0.7585,0.7585,0.7585,0.7585,0.608,0.608,1,1,100,10,50,75
1,A,Manufacturing,2029,10000000000,1.171659381,1.449546839,0.025,0.03,0.01,0.05,0.05,0.04,0.02,0.05,0.075,0.04,0.02,0.05,1,0.724,0.724,0.724,0.724,0.552,0.552,1,1,100,10,50,75
1,A,Manufacturing,2030,10000000000,1.195092569,1.518400313,0.025,0.03,0.01,0.05,0.05,0.04,0.02,0.05,0.075,0.04,0.02,0.05,1,0.6895,0.6895,0.6895,0.6895,0.5,0.5,0.952,1,100,10,50,75
1,A,Manufacturing,2031,10000000000,1.21899442,1.590524328,0.025,0.03,0.01,0.05,0.05,0.04,0.02,0.05,0.075,0.04,0.02,0.05,1,0.655,0.655,0.655,0.655,0.475,0.475,0.904,1,100,10,50,75
1,A,Manufacturing,2032,10000000000,1.243374308,1.666074234,0.025,0.03,0.01,0.05,0.05,0.04,0.02,0.05,0.075,0.04,0.02,0.05,1,0.6205,0.6205,0.6205,0.6205,0.45,0.45,0.856,1,100,10,50,75
1,A,Manufacturing,2033,10000000000,1.268241795,1.74521276,0.025,0.03,0.01,0.05,0.05,0.04,0.02,0.05,0.075,0.04,0.02,0.05,1,0.586,0.586,0.586,0.586,0.425,0.425,0.808,1,100,10,50,75
1,A,Manufacturing,2034,10000000000,1.29360663,1.828110366,0.025,0.03,0.01,0.05,0.05,0.04,0.02,0.05,0.075,0.04,0.02,0.05,1,0.5515,0.5515,0.5515,0.5515,0.4,0.4,0.76,1,100,10,50,75
1,A,Manufacturing,2035,10000000000,1.319478763,1.914945609,0.025,0.03,0.01,0.05,0.05,0.04,0.02,0.05,0.075,0.04,0.02,0.05,1,0.517,0.517,0.517,0.517,0.375,0.375,0.712,1,100,10,50,75
1,A,Manufacturing,2036,10000000000,1.345868338,2.005905525,0.025,0.03,0.01,0.05,0.05,0.04,0.02,0.05,0.075,0.04,0.02,0.05,1,0.4825,0.4825,0.4825,0.4825,0.35,0.35,0.664,1,100,10,50,75
1,A,Manufacturing,2037,10000000000,1.372785705,2.101186037,0.025,0.03,0.01,0.05,0.05,0.04,0.02,0.05,0.075,0.04,0.02,0.05,1,0.448,0.448,0.448,0.448,0.325,0.325,0.616,1,100,10,50,75
1,A,Manufacturing,2038,10000000000,1.400241419,2.200992374,0.025,0.03,0.01,0.05,0.05,0.04,0.02,0.05,0.075,0.04,0.02,0.05,1,0.4135,0.4135,0.4135,0.4135,0.3,0.3,0.568,1,100,10,50,75
1,A,Manufacturing,2039,10000000000,1.428246248,2.305539512,0.025,0.03,0.01,0.05,0.05,0.04,0.02,0.05,0.075,0.04,0.02,0.05,1,0.379,0.379,0.379,0.379,0.275,0.275,0.52,1,100,10,50,75
1,A,Manufacturing,2040,10000000000,1.456811173,2.415052639,0.025,0.03,0.01,0.05,0.05,0.04,0.02,0.05,0.075,0.04,0.02,0.05,1,0.3445,0.3445,0.3445,0.3445,0.25,0.25,0.472,0.91,100,10,50,75
1,A,Manufacturing,2041,10000000000,1.485947396,2.529767639,0.025,0.03,0.01,0.05,0.05,0.04,0.02,0.05,0.075,0.04,0.02,0.05,1,0.31,0.31,0.31,0.31,0.225,0.225,0.424,0.82,100,10,50,75
1,A,Manufacturing,2042,10000000000,1.515666344,2.649931602,0.025,0.03,0.01,0.05,0.05,0.04,0.02,0.05,0.075,0.04,0.02,0.05,1,0.2755,0.2755,0.2755,0.2755,0.2,0.2,0.376,0.73,100,10,50,75
1,A,Manufacturing,2043,10000000000,1.545979671,2.775803353,0.025,0.03,0.01,0.05,0.05,0.04,0.02,0.05,0.075,0.04,0.02,0.05,1,0.241,0.241,0.241,0.241,0.175,0.175,0.328,0.64,100,10,50,75
1,A,Manufacturing,2044,10000000000,1.576899264,2.907654012,0.025,0.03,0.01,0.05,0.05,0.04,0.02,0.05,0.075,0.04,0.02,0.05,1,0.2065,0.2065,0.2065,0.2065,0.15,0.15,0.28,0.55,100,10,50,75
1,A,Manufacturing,2045,10000000000,1.608437249,3.045767578,0.025,0.03,0.01,0.05,0.05,0.04,0.02,0.05,0.075,0.04,0.02,0.05,1,0.172,0.172,0.172,0.172,0.125,0.125,0.232,0.46,100,10,50,75
1,A,Manufacturing,2046,10000000000,1.640605994,3.190441538,0.025,0.03,0.01,0.05,0.05,0.04,0.02,0.05,0.075,0.04,0.02,0.05,1,0.1375,0.1375,0.1375,0.1375,0.1,0.1,0.184,0.37,100,10,50,75
1,A,Manufacturing,2047,10000000000,1.673418114,3.341987511,0.025,0.03,0.01,0.05,0.05,0.04,0.02,0.05,0.075,0.04,0.02,0.05,1,0.103,0.103,0.103,0.103,0.075,0.075,0.136,0.28,100,10,50,75
1,A,Manufacturing,2048,10000000000,1.706886477,3.500731918,0.025,0.03,0.01,0.05,0.05,0.04,0.02,0.05,0.075,0.04,0.02,0.05,1,0.0685,0.0685,0.0685,0.0685,0.05,0.05,0.088,0.19,100,10,50,75
1,A,Manufacturing,2049,10000000000,1.741024206,3.667016684,0.025,0.03,0.01,0.05,0.05,0.04,0.02,0.05,0.075,0.04,0.02,0.05,1,0.034,0.034,0.034,0.034,0.025,0.025,0.04,0.1,100,10,50,75
1,A,Manufacturing,2050,10000000000,1.77584469,3.841199976,0.025,0.03,0.01,0.05,0.05,0.04,0.02,0.05,0.075,0.04,0.02,0.05,1,0,0,0,0,0,0,0,0,100,10,50,75
2,B,Manufacturing,2021,8000000000,1,1,NA,0.03,0.01,0.05,NA,0.04,0.02,0.05,NA,0.04,0.02,0.05,1,NA,1,NA,NA,NA,1,1,1,100,10,50,75
2,B,Manufacturing,2022,8000000000,1.02,1.025,NA,0.03,0.01,0.05,NA,0.04,0.02,0.05,NA,0.04,0.02,0.05,1,NA,0.9655,NA,NA,NA,0.944,1,1,100,10,50,75
2,B,Manufacturing,2023,8000000000,1.0404,1.050625,NA,0.03,0.01,0.05,NA,0.04,0.02,0.05,NA,0.04,0.02,0.05,1,NA,0.931,NA,NA,NA,0.888,1,1,100,10,50,75
2,B,Manufacturing,2024,8000000000,1.061208,1.076890625,NA,0.03,0.01,0.05,NA,0.04,0.02,0.05,NA,0.04,0.02,0.05,1,NA,0.8965,NA,NA,NA,0.832,1,1,100,10,50,75
2,B,Manufacturing,2025,8000000000,1.08243216,1.103812891,NA,0.03,0.01,0.05,NA,0.04,0.02,0.05,NA,0.04,0.02,0.05,1,NA,0.862,NA,NA,NA,0.776,1,1,100,10,50,75
2,B,Manufacturing,2026,8000000000,1.104080803,1.131408213,NA,0.03,0.01,0.05,NA,0.04,0.02,0.05,NA,0.04,0.02,0.05,1,NA,0.8275,NA,NA,NA,0.72,1,1,100,10,50,75
2,B,Manufacturing,2027,8000000000,1.126162419,1.159693418,NA,0.03,0.01,0.05,NA,0.04,0.02,0.05,NA,0.04,0.02,0.05,1,NA,0.793,NA,NA,NA,0.664,1,1,100,10,50,75
2,B,Manufacturing,2028,8000000000,1.148685668,1.188685754,NA,0.03,0.01,0.05,NA,0.04,0.02,0.05,NA,0.04,0.02,0.05,1,NA,0.7585,NA,NA,NA,0.608,1,1,100,10,50,75
2,B,Manufacturing,2029,8000000000,1.183146238,1.218402898,NA,0.03,0.01,0.05,NA,0.04,0.02,0.05,NA,0.04,0.02,0.05,1,NA,0.724,NA,NA,NA,0.552,1,1,100,10,50,75
2,B,Manufacturing,2030,8000000000,1.218640625,1.24886297,NA,0.03,0.01,0.05,NA,0.04,0.02,0.05,NA,0.04,0.02,0.05,1,NA,0.6895,NA,NA,NA,0.5,1,1,100,10,50,75
